country,year,growth,gini_index
BR,2001,1.3899,0.645269282364
BR,2002,3.05346,0.653196461486777
BR,2003,1.14083,0.653351469958829
BR,2004,5.7599599999999995,0.6479128540149262
BR,2005,3.20213,0.6473948188878071
BR,2006,3.96199,0.6494971342368199
BR,2007,6.06987,0.6463626696834711
BR,2008,5.0942,0.6530191368856079
BR,2009,-0.12581199999999998,0.6451332968280801
BR,2010,7.528230000000001,0.6443864787211229
BR,2011,3.9744300000000004,0.6510333946758471
BR,2012,1.92115,0.644376529181393
BR,2013,3.00487,0.6388628496853471
BR,2014,0.503962,0.636323014787364
BR,2015,-3.54587,0.6411212417266291
CN,2000,8.49151,0.486685822303325
CN,2001,8.33991,0.4963496187116288
CN,2002,9.13065,0.5241056685721881
CN,2003,10.0356,0.5325470950767845
CN,2004,10.1112,0.5354519770330806
CN,2005,11.3958,0.5478186781999269
CN,2006,12.7195,0.5489989997715172
CN,2007,14.2314,0.552143132087543
CN,2008,9.65429,0.5525512129642024
CN,2009,9.39981,0.5532775441382964
CN,2010,10.6361,0.5593166132523719
CN,2011,9.55091,0.5571352456429675
CN,2012,7.85963,0.5455567342116896
CN,2013,7.768619999999999,0.5544095331244345
CN,2014,7.299519999999999,0.5468970607889365
CN,2015,6.90532,0.5477478101538342
IN,2000,3.84099,0.4743997740642667
IN,2001,4.82397,0.4840609769629422
IN,2002,3.80398,0.4938780565466749
IN,2003,7.86038,0.503844731413969
IN,2004,7.92294,0.5139540651170819
IN,2005,7.923430000000001,0.5241982416886082
IN,2006,8.06073,0.534648315411084
IN,2007,7.660819999999999,0.5453265126597701
IN,2008,3.0867,0.5562186057177392
IN,2009,7.86189,0.5673078754005929
IN,2010,8.497580000000001,0.578575529473063
IN,2011,5.24134,0.596055915542745
IN,2012,5.45636,0.6025349069946739
IN,2013,6.3861099999999995,0.6026393232060059
RU,2000,10.0001,0.595118930503884
RU,2001,5.10005,0.6045600896656238
RU,2002,4.699990000000001,0.5917241053035811
RU,2003,7.29995,0.5965154228854691
RU,2004,7.19995,0.5896301412772379
RU,2005,6.39997,0.5833536810551535
RU,2006,8.20007,0.5951689825124143
RU,2007,8.49998,0.5976924168581549
RU,2008,5.1999699999999995,0.6101200273233199
RU,2009,-7.799989999999999,0.5878466177850538
RU,2010,4.5,0.5616826054158068
RU,2011,4.3000300000000005,0.5664011451212124
RU,2012,3.7000599999999997,0.5484780249800271
RU,2013,1.8,0.5604311020696477
RU,2014,0.699974,0.5469198791207159
RU,2015,-2.3077099999999997,0.545238349162226
