country,year,average,gini_index
AE,2009,141506.753713,0.6485995435493852
AE,1998,283359.50633299997,0.628820896238
BH,2015,8686.00993415,0.6001665626200939
BH,2005,11891.0736299,0.5906703335748191
BH,1995,12740.9947734,0.6089170127300001
BR,2015,37113.4815254,0.6411212417266291
BR,2014,39518.882833699994,0.636323014787364
BR,2013,42218.1025811,0.6388628496853471
BR,2012,40562.3134057,0.644376529181393
BR,2011,39976.691835000005,0.6510333946758471
BR,2010,38894.4990315,0.6443864787211229
BR,2009,37271.5465998,0.6451332968280801
BR,2008,38209.6631671,0.6530191368856079
BR,2007,37439.3511504,0.6463626696834711
BR,2006,35849.8668271,0.6494971342368199
BR,2005,35184.1757366,0.6473948188878071
BR,2004,34893.6807667,0.6479128540149262
BR,2003,33533.272948699996,0.653351469958829
BR,2002,33939.047702200005,0.653196461486777
BR,2001,33866.3817908,0.645269282364
CI,2014,911463.395061,0.5906055401550299
CI,2008,871787.865983,0.6016129067148311
CI,2002,952253.9994420001,0.6347970917229981
CI,1998,1083154.93967,0.582880686715864
CI,1993,1069159.5663100001,0.542669313899434
CI,1988,1567460.16717,0.6245482829740001
CN-RU,2015,23911.320455,0.5113414394107575
CN-RU,2014,22897.063170299996,0.5105088922141021
CN-RU,2013,21107.4082343,0.5113839336942196
CN-RU,2012,19857.9414381,0.5132750266505898
CN-RU,2011,18506.5786561,0.5165049453098285
CN-RU,2010,17067.726110699998,0.5104915968143008
CN-RU,2009,15554.533929899999,0.4963140115601537
CN-RU,2008,14881.826332100001,0.4903125733170816
CN-RU,2007,14155.6486726,0.4920894679811573
CN-RU,2006,12752.0015457,0.4830215936650365
CN-RU,2005,11656.787165700001,0.4886449867850663
CN-RU,2004,10922.6191105,0.4601443714863693
CN-RU,2003,10259.003541299999,0.4676998747229004
CN-RU,2002,9998.96300454,0.4664847928392499
CN-RU,2001,9930.57829381,0.4607715499788235
CN-RU,2000,9738.53249541,0.4531372477950624
CN-RU,1999,9975.22609756,0.43107395426633
CN-RU,1998,10139.4323277,0.42665138019014537
CN-RU,1997,10091.9307035,0.43148494507802493
CN-RU,1996,9951.46069147,0.42996330734583743
CN-RU,1995,9403.41190478,0.4274604118294865
CN-RU,1994,9137.10530932,0.42618799334170376
CN-RU,1993,8871.56073596,0.4201094236381675
CN-RU,1992,9271.22965785,0.4127597314087862
CN-RU,1991,8777.63372502,0.4042818801984748
CN-RU,1990,8442.29832976,0.3906867682155133
CN-RU,1989,8911.06077112,0.38703929925446795
CN-RU,1988,9813.40062514,0.3826852964730628
CN-RU,1987,9352.98427959,0.3773637842744111
CN-RU,1986,8998.50123467,0.37066680734088775
CN-RU,1985,9119.40108264,0.3619189359492615
CN-RU,1984,7802.86932751,0.3584222482004036
CN-RU,1983,6639.95883271,0.3542064374287284
CN-RU,1982,6039.53779428,0.34896442884752044
CN-RU,1981,5803.50288013,0.3421806666899065
CN-RU,1980,5540.92745996,0.332925860967513
CN-RU,1979,5360.3799893,0.3319457909673837
CN-RU,1978,5142.78291033,0.3306808146642173
CN-UR,2015,83704.2440456,0.4473929993382497
CN-UR,2014,80143.43623889999,0.4465690652048152
CN-UR,2013,74498.4875233,0.4562559082202042
CN-UR,2012,68950.2722012,0.4411741436300989
CN-UR,2011,64751.0973523,0.458752722438405
CN-UR,2010,61742.3610761,0.4568684388358885
CN-UR,2009,58013.48395750001,0.4515522886653325
CN-UR,2008,54268.904127400005,0.4559943431150266
CN-UR,2007,51039.056835100004,0.4520357930240387
CN-UR,2006,45656.9492752,0.44917523882416704
CN-UR,2005,41066.542944199995,0.4463574437497605
CN-UR,2004,37556.364448,0.43834809848391776
CN-UR,2003,34510.42652840001,0.4245196742819412
CN-UR,2002,31980.8788878,0.4126752901844365
CN-UR,2001,28930.4134389,0.3588522049537997
CN-UR,2000,27264.304954699997,0.3456428982494089
