year	low	high	width	share	cumul	# sptinc992j
2009	0.00000	0.01000	0.01000	0.00008	0.00008
2009	0.01000	0.02000	0.01000	0.00041	0.00048
2009	0.02000	0.03000	0.01000	0.00067	0.00115
2009	0.03000	0.04000	0.01000	0.00090	0.00205
2009	0.04000	0.05000	0.01000	0.00112	0.00317
2009	0.05000	0.06000	0.01000	0.00131	0.00448
2009	0.06000	0.07000	0.01000	0.00152	0.00600
2009	0.07000	0.08000	0.01000	0.00168	0.00768
2009	0.08000	0.09000	0.01000	0.00176	0.00944
2009	0.09000	0.10000	0.01000	0.00179	0.01123
2009	0.10000	0.11000	0.01000	0.00182	0.01305
2009	0.11000	0.12000	0.01000	0.00185	0.01490
2009	0.12000	0.13000	0.01000	0.00187	0.01677
2009	0.13000	0.14000	0.01000	0.00190	0.01867
2009	0.14000	0.15000	0.01000	0.00192	0.02059
2009	0.15000	0.16000	0.01000	0.00194	0.02254
2009	0.16000	0.17000	0.01000	0.00197	0.02450
2009	0.17000	0.18000	0.01000	0.00199	0.02650
2009	0.18000	0.19000	0.01000	0.00202	0.02851
2009	0.19000	0.20000	0.01000	0.00204	0.03055
2009	0.20000	0.21000	0.01000	0.00206	0.03261
2009	0.21000	0.22000	0.01000	0.00209	0.03470
2009	0.22000	0.23000	0.01000	0.00211	0.03681
2009	0.23000	0.24000	0.01000	0.00214	0.03895
2009	0.24000	0.25000	0.01000	0.00216	0.04111
2009	0.25000	0.26000	0.01000	0.00219	0.04330
2009	0.26000	0.27000	0.01000	0.00221	0.04551
2009	0.27000	0.28000	0.01000	0.00224	0.04775
2009	0.28000	0.29000	0.01000	0.00227	0.05001
2009	0.29000	0.30000	0.01000	0.00230	0.05231
2009	0.30000	0.31000	0.01000	0.00233	0.05464
2009	0.31000	0.32000	0.01000	0.00237	0.05701
2009	0.32000	0.33000	0.01000	0.00241	0.05942
2009	0.33000	0.34000	0.01000	0.00245	0.06187
2009	0.34000	0.35000	0.01000	0.00250	0.06437
2009	0.35000	0.36000	0.01000	0.00254	0.06691
2009	0.36000	0.37000	0.01000	0.00259	0.06950
2009	0.37000	0.38000	0.01000	0.00263	0.07213
2009	0.38000	0.39000	0.01000	0.00268	0.07481
2009	0.39000	0.40000	0.01000	0.00274	0.07756
2009	0.40000	0.41000	0.01000	0.00280	0.08036
2009	0.41000	0.42000	0.01000	0.00287	0.08323
2009	0.42000	0.43000	0.01000	0.00294	0.08617
2009	0.43000	0.44000	0.01000	0.00301	0.08918
2009	0.44000	0.45000	0.01000	0.00309	0.09227
2009	0.45000	0.46000	0.01000	0.00317	0.09543
2009	0.46000	0.47000	0.01000	0.00325	0.09868
2009	0.47000	0.48000	0.01000	0.00333	0.10201
2009	0.48000	0.49000	0.01000	0.00342	0.10543
2009	0.49000	0.50000	0.01000	0.00351	0.10894
2009	0.50000	0.51000	0.01000	0.00361	0.11255
2009	0.51000	0.52000	0.01000	0.00371	0.11625
2009	0.52000	0.53000	0.01000	0.00381	0.12007
2009	0.53000	0.54000	0.01000	0.00392	0.12399
2009	0.54000	0.55000	0.01000	0.00404	0.12803
2009	0.55000	0.56000	0.01000	0.00415	0.13218
2009	0.56000	0.57000	0.01000	0.00427	0.13646
2009	0.57000	0.58000	0.01000	0.00439	0.14085
2009	0.58000	0.59000	0.01000	0.00451	0.14536
2009	0.59000	0.60000	0.01000	0.00464	0.15001
2009	0.60000	0.61000	0.01000	0.00478	0.15479
2009	0.61000	0.62000	0.01000	0.00493	0.15972
2009	0.62000	0.63000	0.01000	0.00509	0.16480
2009	0.63000	0.64000	0.01000	0.00526	0.17006
