year	low	high	width	share	cumul	# sptinc992j
2015	0.00000	0.01000	0.01000	0.00005	0.00005
2015	0.01000	0.02000	0.01000	0.00016	0.00021
2015	0.02000	0.03000	0.01000	0.00021	0.00042
2015	0.03000	0.04000	0.01000	0.00022	0.00064
2015	0.04000	0.05000	0.01000	0.00022	0.00087
2015	0.05000	0.06000	0.01000	0.00023	0.00110
2015	0.06000	0.07000	0.01000	0.00024	0.00133
2015	0.07000	0.08000	0.01000	0.00024	0.00158
2015	0.08000	0.09000	0.01000	0.00025	0.00183
2015	0.09000	0.10000	0.01000	0.00026	0.00209
2015	0.10000	0.11000	0.01000	0.00036	0.00244
2015	0.11000	0.12000	0.01000	0.00062	0.00306
2015	0.12000	0.13000	0.01000	0.00095	0.00401
2015	0.13000	0.14000	0.01000	0.00130	0.00531
2015	0.14000	0.15000	0.01000	0.00163	0.00695
2015	0.15000	0.16000	0.01000	0.00188	0.00882
2015	0.16000	0.17000	0.01000	0.00200	0.01082
2015	0.17000	0.18000	0.01000	0.00204	0.01286
2015	0.18000	0.19000	0.01000	0.00205	0.01492
2015	0.19000	0.20000	0.01000	0.00206	0.01698
2015	0.20000	0.21000	0.01000	0.00209	0.01907
2015	0.21000	0.22000	0.01000	0.00217	0.02124
2015	0.22000	0.23000	0.01000	0.00230	0.02354
2015	0.23000	0.24000	0.01000	0.00246	0.02599
2015	0.24000	0.25000	0.01000	0.00263	0.02863
2015	0.25000	0.26000	0.01000	0.00281	0.03144
2015	0.26000	0.27000	0.01000	0.00299	0.03443
2015	0.27000	0.28000	0.01000	0.00314	0.03757
2015	0.28000	0.29000	0.01000	0.00327	0.04083
2015	0.29000	0.30000	0.01000	0.00337	0.04420
2015	0.30000	0.31000	0.01000	0.00345	0.04765
2015	0.31000	0.32000	0.01000	0.00351	0.05116
2015	0.32000	0.33000	0.01000	0.00356	0.05471
2015	0.33000	0.34000	0.01000	0.00359	0.05830
2015	0.34000	0.35000	0.01000	0.00361	0.06191
2015	0.35000	0.36000	0.01000	0.00362	0.06554
2015	0.36000	0.37000	0.01000	0.00364	0.06917
2015	0.37000	0.38000	0.01000	0.00365	0.07283
2015	0.38000	0.39000	0.01000	0.00368	0.07651
2015	0.39000	0.40000	0.01000	0.00372	0.08022
2015	0.40000	0.41000	0.01000	0.00378	0.08400
2015	0.41000	0.42000	0.01000	0.00386	0.08787
2015	0.42000	0.43000	0.01000	0.00396	0.09183
2015	0.43000	0.44000	0.01000	0.00407	0.09590
2015	0.44000	0.45000	0.01000	0.00418	0.10008
2015	0.45000	0.46000	0.01000	0.00429	0.10438
2015	0.46000	0.47000	0.01000	0.00440	0.10877
2015	0.47000	0.48000	0.01000	0.00449	0.11327
2015	0.48000	0.49000	0.01000	0.00458	0.11785
2015	0.49000	0.50000	0.01000	0.00467	0.12252
2015	0.50000	0.51000	0.01000	0.00477	0.12729
2015	0.51000	0.52000	0.01000	0.00487	0.13216
2015	0.52000	0.53000	0.01000	0.00498	0.13714
2015	0.53000	0.54000	0.01000	0.00509	0.14223
2015	0.54000	0.55000	0.01000	0.00521	0.14744
2015	0.55000	0.56000	0.01000	0.00533	0.15276
2015	0.56000	0.57000	0.01000	0.00545	0.15821
2015	0.57000	0.58000	0.01000	0.00557	0.16378
2015	0.58000	0.59000	0.01000	0.00569	0.16946
2015	0.59000	0.60000	0.01000	0.00582	0.17528
2015	0.60000	0.61000	0.01000	0.00595	0.18123
2015	0.61000	0.62000	0.01000	0.00611	0.18734
2015	0.62000	0.63000	0.01000	0.00627	0.19360
2015	0.63000	0.64000	0.01000	0.00643	0.20003
2015	0.64000	0.65000	0.01000	0.00659	0.20663
2015	0.65000	0.66000	0.01000	0.00675	0.21338
2015	0.66000	0.67000	0.01000	0.00691	0.22028
2015	0.67000	0.68000	0.01000	0.00705	0.22733
2015	0.68000	0.69000	0.01000	0.00719	0.23453
2015	0.69000	0.70000	0.01000	0.00733	0.24186
2015	0.70000	0.71000	0.01000	0.00749	0.24934
2015	0.71000	0.72000	0.01000	0.00766	0.25700
2015	0.72000	0.73000	0.01000	0.00784	0.26484
2015	0.73000	0.74000	0.01000	0.00805	0.27289
2015	0.74000	0.75000	0.01000	0.00827	0.28116
2015	0.75000	0.76000	0.01000	0.00850	0.28967
2015	0.76000	0.77000	0.01000	0.00875	0.29842
2015	0.77000	0.78000	0.01000	0.00901	0.30743
2015	0.78000	0.79000	0.01000	0.00929	0.31672
2015	0.79000	0.80000	0.01000	0.00957	0.32629
2015	0.80000	0.81000	0.01000	0.00987	0.33616
2015	0.81000	0.82000	0.01000	0.01018	0.34634
2015	0.82000	0.83000	0.01000	0.01053	0.35687
2015	0.83000	0.84000	0.01000	0.01091	0.36778
2015	0.84000	0.85000	0.01000	0.01136	0.37914
2015	0.85000	0.86000	0.01000	0.01190	0.39104
2015	0.86000	0.87000	0.01000	0.01254	0.40358
2015	0.87000	0.88000	0.01000	0.01333	0.41691
2015	0.88000	0.89000	0.01000	0.01430	0.43121
2015	0.89000	0.90000	0.01000	0.01548	0.44669
2015	0.90000	0.91000	0.01000	0.01687	0.46356
2015	0.91000	0.92000	0.01000	0.01850	0.48206
2015	0.92000	0.93000	0.01000	0.02043	0.50249
2015	0.93000	0.94000	0.01000	0.02278	0.52526
2015	0.94000	0.95000	0.01000	0.02573	0.55099
2015	0.95000	0.96000	0.01000	0.02961	0.58060
2015	0.96000	0.97000	0.01000	0.03509	0.61569
