year	low	high	width	share	cumul	# sptinc992j
2014	0.00000	0.01000	0.01000	0.00010	0.00010
2014	0.01000	0.02000	0.01000	0.00025	0.00034
2014	0.02000	0.03000	0.01000	0.00038	0.00072
2014	0.03000	0.04000	0.01000	0.00051	0.00123
2014	0.04000	0.05000	0.01000	0.00063	0.00186
2014	0.05000	0.06000	0.01000	0.00075	0.00261
2014	0.06000	0.07000	0.01000	0.00086	0.00347
2014	0.07000	0.08000	0.01000	0.00096	0.00444
2014	0.08000	0.09000	0.01000	0.00109	0.00553
2014	0.09000	0.10000	0.01000	0.00124	0.00677
2014	0.10000	0.11000	0.01000	0.00136	0.00813
2014	0.11000	0.12000	0.01000	0.00143	0.00956
2014	0.12000	0.13000	0.01000	0.00152	0.01108
2014	0.13000	0.14000	0.01000	0.00163	0.01271
2014	0.14000	0.15000	0.01000	0.00173	0.01445
2014	0.15000	0.16000	0.01000	0.00182	0.01627
2014	0.16000	0.17000	0.01000	0.00191	0.01818
2014	0.17000	0.18000	0.01000	0.00201	0.02019
2014	0.18000	0.19000	0.01000	0.00211	0.02230
2014	0.19000	0.20000	0.01000	0.00220	0.02451
2014	0.20000	0.21000	0.01000	0.00228	0.02679
2014	0.21000	0.22000	0.01000	0.00237	0.02916
2014	0.22000	0.23000	0.01000	0.00247	0.03163
2014	0.23000	0.24000	0.01000	0.00259	0.03423
2014	0.24000	0.25000	0.01000	0.00269	0.03692
2014	0.25000	0.26000	0.01000	0.00276	0.03968
2014	0.26000	0.27000	0.01000	0.00283	0.04251
2014	0.27000	0.28000	0.01000	0.00292	0.04543
2014	0.28000	0.29000	0.01000	0.00300	0.04843
2014	0.29000	0.30000	0.01000	0.00307	0.05150
2014	0.30000	0.31000	0.01000	0.00317	0.05467
2014	0.31000	0.32000	0.01000	0.00329	0.05797
2014	0.32000	0.33000	0.01000	0.00339	0.06135
2014	0.33000	0.34000	0.01000	0.00345	0.06481
2014	0.34000	0.35000	0.01000	0.00353	0.06834
2014	0.35000	0.36000	0.01000	0.00364	0.07197
2014	0.36000	0.37000	0.01000	0.00378	0.07575
2014	0.37000	0.38000	0.01000	0.00392	0.07967
2014	0.38000	0.39000	0.01000	0.00402	0.08369
2014	0.39000	0.40000	0.01000	0.00409	0.08778
2014	0.40000	0.41000	0.01000	0.00417	0.09195
2014	0.41000	0.42000	0.01000	0.00429	0.09624
2014	0.42000	0.43000	0.01000	0.00440	0.10065
2014	0.43000	0.44000	0.01000	0.00450	0.10515
2014	0.44000	0.45000	0.01000	0.00461	0.10976
2014	0.45000	0.46000	0.01000	0.00472	0.11448
2014	0.46000	0.47000	0.01000	0.00483	0.11931
2014	0.47000	0.48000	0.01000	0.00493	0.12424
2014	0.48000	0.49000	0.01000	0.00505	0.12929
2014	0.49000	0.50000	0.01000	0.00519	0.13448
2014	0.50000	0.51000	0.01000	0.00532	0.13980
2014	0.51000	0.52000	0.01000	0.00544	0.14524
