year	low	high	width	share	cumul	# sptinc992j
2015	0.00000	0.01000	0.01000	-0.00003	-0.00003
2015	0.01000	0.02000	0.01000	0.00025	0.00022
2015	0.02000	0.03000	0.01000	0.00046	0.00067
2015	0.03000	0.04000	0.01000	0.00065	0.00132
2015	0.04000	0.05000	0.01000	0.00085	0.00217
2015	0.05000	0.06000	0.01000	0.00104	0.00321
2015	0.06000	0.07000	0.01000	0.00122	0.00443
2015	0.07000	0.08000	0.01000	0.00141	0.00584
2015	0.08000	0.09000	0.01000	0.00160	0.00744
2015	0.09000	0.10000	0.01000	0.00178	0.00922
2015	0.10000	0.11000	0.01000	0.00197	0.01119
2015	0.11000	0.12000	0.01000	0.00215	0.01335
2015	0.12000	0.13000	0.01000	0.00234	0.01568
2015	0.13000	0.14000	0.01000	0.00252	0.01820
2015	0.14000	0.15000	0.01000	0.00270	0.02091
2015	0.15000	0.16000	0.01000	0.00289	0.02380
2015	0.16000	0.17000	0.01000	0.00307	0.02687
2015	0.17000	0.18000	0.01000	0.00325	0.03012
2015	0.18000	0.19000	0.01000	0.00343	0.03356
2015	0.19000	0.20000	0.01000	0.00359	0.03715
2015	0.20000	0.21000	0.01000	0.00371	0.04086
2015	0.21000	0.22000	0.01000	0.00381	0.04467
2015	0.22000	0.23000	0.01000	0.00390	0.04856
2015	0.23000	0.24000	0.01000	0.00398	0.05254
2015	0.24000	0.25000	0.01000	0.00407	0.05661
2015	0.25000	0.26000	0.01000	0.00415	0.06077
2015	0.26000	0.27000	0.01000	0.00424	0.06500
2015	0.27000	0.28000	0.01000	0.00432	0.06933
2015	0.28000	0.29000	0.01000	0.00441	0.07373
2015	0.29000	0.30000	0.01000	0.00449	0.07822
2015	0.30000	0.31000	0.01000	0.00457	0.08280
2015	0.31000	0.32000	0.01000	0.00466	0.08746
2015	0.32000	0.33000	0.01000	0.00474	0.09220
2015	0.33000	0.34000	0.01000	0.00483	0.09703
2015	0.34000	0.35000	0.01000	0.00491	0.10194
2015	0.35000	0.36000	0.01000	0.00500	0.10694
2015	0.36000	0.37000	0.01000	0.00508	0.11202
2015	0.37000	0.38000	0.01000	0.00517	0.11719
2015	0.38000	0.39000	0.01000	0.00525	0.12244
2015	0.39000	0.40000	0.01000	0.00534	0.12777
2015	0.40000	0.41000	0.01000	0.00542	0.13320
2015	0.41000	0.42000	0.01000	0.00551	0.13870
2015	0.42000	0.43000	0.01000	0.00559	0.14429
2015	0.43000	0.44000	0.01000	0.00568	0.14997
2015	0.44000	0.45000	0.01000	0.00576	0.15574
2015	0.45000	0.46000	0.01000	0.00585	0.16159
2015	0.46000	0.47000	0.01000	0.00594	0.16752
2015	0.47000	0.48000	0.01000	0.00602	0.17355
2015	0.48000	0.49000	0.01000	0.00611	0.17966
2015	0.49000	0.50000	0.01000	0.00620	0.18587
2015	0.50000	0.51000	0.01000	0.00630	0.19216
2015	0.51000	0.52000	0.01000	0.00639	0.19856
2015	0.52000	0.53000	0.01000	0.00649	0.20505
2015	0.53000	0.54000	0.01000	0.00659	0.21164
2015	0.54000	0.55000	0.01000	0.00670	0.21834
2015	0.55000	0.56000	0.01000	0.00681	0.22514
2015	0.56000	0.57000	0.01000	0.00692	0.23206
2015	0.57000	0.58000	0.01000	0.00703	0.23909
2015	0.58000	0.59000	0.01000	0.00716	0.24625
2015	0.59000	0.60000	0.01000	0.00728	0.25353
2015	0.60000	0.61000	0.01000	0.00741	0.26094
2015	0.61000	0.62000	0.01000	0.00755	0.26849
2015	0.62000	0.63000	0.01000	0.00769	0.27617
2015	0.63000	0.64000	0.01000	0.00783	0.28401
2015	0.64000	0.65000	0.01000	0.00799	0.29199
2015	0.65000	0.66000	0.01000	0.00815	0.30014
2015	0.66000	0.67000	0.01000	0.00832	0.30846
2015	0.67000	0.68000	0.01000	0.00849	0.31695
2015	0.68000	0.69000	0.01000	0.00867	0.32562
2015	0.69000	0.70000	0.01000	0.00887	0.33449
2015	0.70000	0.71000	0.01000	0.00907	0.34356
2015	0.71000	0.72000	0.01000	0.00928	0.35284
2015	0.72000	0.73000	0.01000	0.00951	0.36236
2015	0.73000	0.74000	0.01000	0.00975	0.37211
2015	0.74000	0.75000	0.01000	0.01000	0.38211
2015	0.75000	0.76000	0.01000	0.01027	0.39238
2015	0.76000	0.77000	0.01000	0.01056	0.40294
2015	0.77000	0.78000	0.01000	0.01086	0.41380
2015	0.78000	0.79000	0.01000	0.01119	0.42498
2015	0.79000	0.80000	0.01000	0.01154	0.43652
2015	0.80000	0.81000	0.01000	0.01191	0.44844
2015	0.81000	0.82000	0.01000	0.01232	0.46076
2015	0.82000	0.83000	0.01000	0.01276	0.47352
2015	0.83000	0.84000	0.01000	0.01325	0.48677
2015	0.84000	0.85000	0.01000	0.01378	0.50055
2015	0.85000	0.86000	0.01000	0.01436	0.51491
2015	0.86000	0.87000	0.01000	0.01501	0.52992
2015	0.87000	0.88000	0.01000	0.01575	0.54567
2015	0.88000	0.89000	0.01000	0.01658	0.56225
2015	0.89000	0.90000	0.01000	0.01754	0.57979
2015	0.90000	0.91000	0.01000	0.01865	0.59843
2015	0.91000	0.92000	0.01000	0.01996	0.61840
2015	0.92000	0.93000	0.01000	0.02154	0.63993
2015	0.93000	0.94000	0.01000	0.02345	0.66339
2015	0.94000	0.95000	0.01000	0.02583	0.68922
2015	0.95000	0.96000	0.01000	0.02885	0.71807
2015	0.96000	0.97000	0.01000	0.03288	0.75095
2015	0.97000	0.98000	0.01000	0.03872	0.78966
2015	0.98000	0.99000	0.01000	0.04888	0.83854
2015	0.99000	0.99100	0.00100	0.00589	0.84444
2015	0.99100	0.99200	0.00100	0.00622	0.85066
2015	0.99200	0.99300	0.00100	0.00660	0.85725
2015	0.99300	0.99400	0.00100	0.00706	0.86432
2015	0.99400	0.99500	0.00100	0.00759	0.87191
2015	0.99500	0.99600	0.00100	0.00828	0.88019
2015	0.99600	0.99700	0.00100	0.00935	0.88954
2015	0.99700	0.99800	0.00100	0.01124	0.90077
2015	0.99800	0.99900	0.00100	0.01553	0.91630
2015	0.99900	0.99910	0.00010	0.00206	0.91836
2015	0.99910	0.99920	0.00010	0.00222	0.92058
2015	0.99920	0.99930	0.00010	0.00243	0.92301
2015	0.99930	0.99940	0.00010	0.00269	0.92571
2015	0.99940	0.99950	0.00010	0.00305	0.92875
2015	0.99950	0.99960	0.00010	0.00355	0.93230
2015	0.99960	0.99970	0.00010	0.00432	0.93662
2015	0.99970	0.99980	0.00010	0.00567	0.94228
2015	0.99980	0.99990	0.00010	0.00876	0.95104
2015	0.99990	0.99991	0.00001	0.00125	0.95229
2015	0.99991	0.99992	0.00001	0.00136	0.95365
2015	0.99992	0.99993	0.00001	0.00150	0.95515
2015	0.99993	0.99994	0.00001	0.00169	0.95684
2015	0.99994	0.99995	0.00001	0.00193	0.95877
2015	0.99995	0.99996	0.00001	0.00227	0.96104
2015	0.99996	0.99997	0.00001	0.00276	0.96380
2015	0.99997	0.99998	0.00001	0.00360	0.96740
2015	0.99998	0.99999	0.00001	0.00541	0.97281
2015	0.99999	1.00000	0.00001	0.02719	1.00000
2014	0.00000	0.01000	0.01000	-0.00003	-0.00003
2014	0.01000	0.02000	0.01000	0.00025	0.00021
2014	0.02000	0.03000	0.01000	0.00046	0.00067
2014	0.03000	0.04000	0.01000	0.00065	0.00132
2014	0.04000	0.05000	0.01000	0.00085	0.00217
2014	0.05000	0.06000	0.01000	0.00104	0.00321
2014	0.06000	0.07000	0.01000	0.00123	0.00443
2014	0.07000	0.08000	0.01000	0.00141	0.00585
2014	0.08000	0.09000	0.01000	0.00160	0.00745
2014	0.09000	0.10000	0.01000	0.00179	0.00923
2014	0.10000	0.11000	0.01000	0.00197	0.01120
2014	0.11000	0.12000	0.01000	0.00216	0.01336
2014	0.12000	0.13000	0.01000	0.00234	0.01570
2014	0.13000	0.14000	0.01000	0.00252	0.01822
2014	0.14000	0.15000	0.01000	0.00271	0.02093
2014	0.15000	0.16000	0.01000	0.00289	0.02382
2014	0.16000	0.17000	0.01000	0.00308	0.02690
2014	0.17000	0.18000	0.01000	0.00326	0.03016
2014	0.18000	0.19000	0.01000	0.00344	0.03360
2014	0.19000	0.20000	0.01000	0.00360	0.03719
2014	0.20000	0.21000	0.01000	0.00371	0.04090
2014	0.21000	0.22000	0.01000	0.00381	0.04471
2014	0.22000	0.23000	0.01000	0.00390	0.04861
2014	0.23000	0.24000	0.01000	0.00399	0.05260
2014	0.24000	0.25000	0.01000	0.00407	0.05667
2014	0.25000	0.26000	0.01000	0.00416	0.06083
2014	0.26000	0.27000	0.01000	0.00424	0.06507
2014	0.27000	0.28000	0.01000	0.00433	0.06940
