year	low	high	width	share	cumul	# sptinc992j
2015	0.00000	0.01000	0.01000	0.00079	0.00079
2015	0.01000	0.02000	0.01000	0.00237	0.00315
2015	0.02000	0.03000	0.01000	0.00357	0.00673
2015	0.03000	0.04000	0.01000	0.00377	0.01050
2015	0.04000	0.05000	0.01000	0.00391	0.01440
2015	0.05000	0.06000	0.01000	0.00404	0.01845
2015	0.06000	0.07000	0.01000	0.00418	0.02263
2015	0.07000	0.08000	0.01000	0.00432	0.02695
2015	0.08000	0.09000	0.01000	0.00446	0.03141
2015	0.09000	0.10000	0.01000	0.00460	0.03601
2015	0.10000	0.11000	0.01000	0.00471	0.04072
2015	0.11000	0.12000	0.01000	0.00481	0.04553
2015	0.12000	0.13000	0.01000	0.00491	0.05044
2015	0.13000	0.14000	0.01000	0.00501	0.05545
2015	0.14000	0.15000	0.01000	0.00509	0.06054
2015	0.15000	0.16000	0.01000	0.00515	0.06569
2015	0.16000	0.17000	0.01000	0.00520	0.07090
2015	0.17000	0.18000	0.01000	0.00526	0.07616
2015	0.18000	0.19000	0.01000	0.00531	0.08147
2015	0.19000	0.20000	0.01000	0.00537	0.08684
2015	0.20000	0.21000	0.01000	0.00541	0.09225
2015	0.21000	0.22000	0.01000	0.00546	0.09771
2015	0.22000	0.23000	0.01000	0.00553	0.10324
2015	0.23000	0.24000	0.01000	0.00561	0.10885
2015	0.24000	0.25000	0.01000	0.00571	0.11456
2015	0.25000	0.26000	0.01000	0.00580	0.12036
2015	0.26000	0.27000	0.01000	0.00589	0.12625
2015	0.27000	0.28000	0.01000	0.00597	0.13222
2015	0.28000	0.29000	0.01000	0.00605	0.13827
2015	0.29000	0.30000	0.01000	0.00612	0.14439
2015	0.30000	0.31000	0.01000	0.00619	0.15058
2015	0.31000	0.32000	0.01000	0.00625	0.15683
2015	0.32000	0.33000	0.01000	0.00632	0.16315
2015	0.33000	0.34000	0.01000	0.00639	0.16954
2015	0.34000	0.35000	0.01000	0.00646	0.17601
2015	0.35000	0.36000	0.01000	0.00654	0.18255
2015	0.36000	0.37000	0.01000	0.00662	0.18917
2015	0.37000	0.38000	0.01000	0.00671	0.19588
2015	0.38000	0.39000	0.01000	0.00680	0.20268
2015	0.39000	0.40000	0.01000	0.00689	0.20957
2015	0.40000	0.41000	0.01000	0.00698	0.21655
2015	0.41000	0.42000	0.01000	0.00707	0.22363
2015	0.42000	0.43000	0.01000	0.00716	0.23079
2015	0.43000	0.44000	0.01000	0.00725	0.23805
2015	0.44000	0.45000	0.01000	0.00735	0.24539
2015	0.45000	0.46000	0.01000	0.00744	0.25283
2015	0.46000	0.47000	0.01000	0.00753	0.26036
2015	0.47000	0.48000	0.01000	0.00763	0.26799
2015	0.48000	0.49000	0.01000	0.00773	0.27571
2015	0.49000	0.50000	0.01000	0.00783	0.28354
2015	0.50000	0.51000	0.01000	0.00793	0.29147
2015	0.51000	0.52000	0.01000	0.00803	0.29950
2015	0.52000	0.53000	0.01000	0.00814	0.30765
2015	0.53000	0.54000	0.01000	0.00825	0.31590
2015	0.54000	0.55000	0.01000	0.00837	0.32427
2015	0.55000	0.56000	0.01000	0.00848	0.33275
2015	0.56000	0.57000	0.01000	0.00860	0.34135
2015	0.57000	0.58000	0.01000	0.00872	0.35006
2015	0.58000	0.59000	0.01000	0.00883	0.35889
2015	0.59000	0.60000	0.01000	0.00895	0.36784
2015	0.60000	0.61000	0.01000	0.00905	0.37689
2015	0.61000	0.62000	0.01000	0.00916	0.38605
2015	0.62000	0.63000	0.01000	0.00927	0.39532
2015	0.63000	0.64000	0.01000	0.00938	0.40471
2015	0.64000	0.65000	0.01000	0.00950	0.41421
2015	0.65000	0.66000	0.01000	0.00964	0.42385
2015	0.66000	0.67000	0.01000	0.00979	0.43364
2015	0.67000	0.68000	0.01000	0.00995	0.44359
2015	0.68000	0.69000	0.01000	0.01012	0.45371
2015	0.69000	0.70000	0.01000	0.01030	0.46400
2015	0.70000	0.71000	0.01000	0.01047	0.47447
2015	0.71000	0.72000	0.01000	0.01063	0.48510
2015	0.72000	0.73000	0.01000	0.01078	0.49589
2015	0.73000	0.74000	0.01000	0.01093	0.50682
2015	0.74000	0.75000	0.01000	0.01109	0.51791
2015	0.75000	0.76000	0.01000	0.01124	0.52915
2015	0.76000	0.77000	0.01000	0.01141	0.54056
2015	0.77000	0.78000	0.01000	0.01159	0.55215
2015	0.78000	0.79000	0.01000	0.01179	0.56394
2015	0.79000	0.80000	0.01000	0.01201	0.57595
2015	0.80000	0.81000	0.01000	0.01225	0.58820
2015	0.81000	0.82000	0.01000	0.01251	0.60070
2015	0.82000	0.83000	0.01000	0.01279	0.61349
2015	0.83000	0.84000	0.01000	0.01308	0.62657
2015	0.84000	0.85000	0.01000	0.01340	0.63997
2015	0.85000	0.86000	0.01000	0.01374	0.65371
2015	0.86000	0.87000	0.01000	0.01409	0.66780
2015	0.87000	0.88000	0.01000	0.01448	0.68228
2015	0.88000	0.89000	0.01000	0.01489	0.69717
2015	0.89000	0.90000	0.01000	0.01536	0.71253
2015	0.90000	0.91000	0.01000	0.01591	0.72844
2015	0.91000	0.92000	0.01000	0.01656	0.74500
2015	0.92000	0.93000	0.01000	0.01732	0.76232
2015	0.93000	0.94000	0.01000	0.01818	0.78050
2015	0.94000	0.95000	0.01000	0.01917	0.79968
2015	0.95000	0.96000	0.01000	0.02105	0.82073
2015	0.96000	0.97000	0.01000	0.02414	0.84487
2015	0.97000	0.98000	0.01000	0.02826	0.87313
2015	0.98000	0.99000	0.01000	0.03491	0.90803
2015	0.99000	0.99100	0.00100	0.00420	0.91223
2015	0.99100	0.99200	0.00100	0.00457	0.91680
2015	0.99200	0.99300	0.00100	0.00499	0.92179
2015	0.99300	0.99400	0.00100	0.00547	0.92726
2015	0.99400	0.99500	0.00100	0.00603	0.93328
2015	0.99500	0.99600	0.00100	0.00674	0.94002
2015	0.99600	0.99700	0.00100	0.00774	0.94776
2015	0.99700	0.99800	0.00100	0.00931	0.95706
2015	0.99800	0.99900	0.00100	0.01233	0.96940
2015	0.99900	0.99910	0.00010	0.00154	0.97094
2015	0.99910	0.99920	0.00010	0.00164	0.97258
2015	0.99920	0.99930	0.00010	0.00175	0.97433
2015	0.99930	0.99940	0.00010	0.00188	0.97621
2015	0.99940	0.99950	0.00010	0.00205	0.97826
2015	0.99950	0.99960	0.00010	0.00227	0.98053
2015	0.99960	0.99970	0.00010	0.00259	0.98312
2015	0.99970	0.99980	0.00010	0.00308	0.98620
2015	0.99980	0.99990	0.00010	0.00403	0.99023
2015	0.99990	0.99991	0.00001	0.00050	0.99073
2015	0.99991	0.99992	0.00001	0.00053	0.99126
2015	0.99992	0.99993	0.00001	0.00056	0.99183
2015	0.99993	0.99994	0.00001	0.00061	0.99243
2015	0.99994	0.99995	0.00001	0.00066	0.99309
2015	0.99995	0.99996	0.00001	0.00073	0.99382
2015	0.99996	0.99997	0.00001	0.00083	0.99465
2015	0.99997	0.99998	0.00001	0.00098	0.99564
2015	0.99998	0.99999	0.00001	0.00128	0.99692
2015	0.99999	1.00000	0.00001	0.00308	1.00000
2014	0.00000	0.01000	0.01000	0.00081	0.00081
2014	0.01000	0.02000	0.01000	0.00242	0.00323
2014	0.02000	0.03000	0.01000	0.00363	0.00686
2014	0.03000	0.04000	0.01000	0.00381	0.01067
2014	0.04000	0.05000	0.01000	0.00395	0.01462
2014	0.05000	0.06000	0.01000	0.00409	0.01871
2014	0.06000	0.07000	0.01000	0.00422	0.02293
2014	0.07000	0.08000	0.01000	0.00436	0.02729
2014	0.08000	0.09000	0.01000	0.00450	0.03179
2014	0.09000	0.10000	0.01000	0.00464	0.03643
2014	0.10000	0.11000	0.01000	0.00472	0.04114
2014	0.11000	0.12000	0.01000	0.00478	0.04592
2014	0.12000	0.13000	0.01000	0.00489	0.05081
2014	0.13000	0.14000	0.01000	0.00502	0.05583
2014	0.14000	0.15000	0.01000	0.00515	0.06097
2014	0.15000	0.16000	0.01000	0.00527	0.06624
2014	0.16000	0.17000	0.01000	0.00536	0.07160
2014	0.17000	0.18000	0.01000	0.00543	0.07704
2014	0.18000	0.19000	0.01000	0.00548	0.08251
2014	0.19000	0.20000	0.01000	0.00550	0.08801
2014	0.20000	0.21000	0.01000	0.00551	0.09353
2014	0.21000	0.22000	0.01000	0.00555	0.09908
2014	0.22000	0.23000	0.01000	0.00560	0.10468
2014	0.23000	0.24000	0.01000	0.00567	0.11034
2014	0.24000	0.25000	0.01000	0.00574	0.11608
2014	0.25000	0.26000	0.01000	0.00581	0.12189
2014	0.26000	0.27000	0.01000	0.00588	0.12776
2014	0.27000	0.28000	0.01000	0.00594	0.13371
2014	0.28000	0.29000	0.01000	0.00601	0.13972
2014	0.29000	0.30000	0.01000	0.00607	0.14579
2014	0.30000	0.31000	0.01000	0.00614	0.15193
2014	0.31000	0.32000	0.01000	0.00621	0.15814
2014	0.32000	0.33000	0.01000	0.00628	0.16441
2014	0.33000	0.34000	0.01000	0.00635	0.17077
2014	0.34000	0.35000	0.01000	0.00643	0.17719
2014	0.35000	0.36000	0.01000	0.00650	0.18370
2014	0.36000	0.37000	0.01000	0.00658	0.19027
2014	0.37000	0.38000	0.01000	0.00665	0.19692
2014	0.38000	0.39000	0.01000	0.00673	0.20365
2014	0.39000	0.40000	0.01000	0.00681	0.21046
2014	0.40000	0.41000	0.01000	0.00689	0.21735
2014	0.41000	0.42000	0.01000	0.00698	0.22433
2014	0.42000	0.43000	0.01000	0.00708	0.23141
2014	0.43000	0.44000	0.01000	0.00718	0.23859
2014	0.44000	0.45000	0.01000	0.00728	0.24587
2014	0.45000	0.46000	0.01000	0.00738	0.25325
2014	0.46000	0.47000	0.01000	0.00748	0.26072
2014	0.47000	0.48000	0.01000	0.00758	0.26830
2014	0.48000	0.49000	0.01000	0.00767	0.27598
2014	0.49000	0.50000	0.01000	0.00777	0.28375
2014	0.50000	0.51000	0.01000	0.00787	0.29162
2014	0.51000	0.52000	0.01000	0.00797	0.29959
2014	0.52000	0.53000	0.01000	0.00808	0.30767
2014	0.53000	0.54000	0.01000	0.00819	0.31586
2014	0.54000	0.55000	0.01000	0.00830	0.32415
2014	0.55000	0.56000	0.01000	0.00841	0.33257
