year	low	high	width	share	cumul	# sptinc992j
2015	0.00000	0.01000	0.01000	0.00101	0.00101
2015	0.01000	0.02000	0.01000	0.00169	0.00270
2015	0.02000	0.03000	0.01000	0.00195	0.00464
2015	0.03000	0.04000	0.01000	0.00206	0.00671
2015	0.04000	0.05000	0.01000	0.00214	0.00885
2015	0.05000	0.06000	0.01000	0.00227	0.01112
2015	0.06000	0.07000	0.01000	0.00240	0.01352
2015	0.07000	0.08000	0.01000	0.00249	0.01601
2015	0.08000	0.09000	0.01000	0.00257	0.01859
2015	0.09000	0.10000	0.01000	0.00266	0.02124
2015	0.10000	0.11000	0.01000	0.00274	0.02398
2015	0.11000	0.12000	0.01000	0.00281	0.02679
2015	0.12000	0.13000	0.01000	0.00288	0.02968
2015	0.13000	0.14000	0.01000	0.00295	0.03263
2015	0.14000	0.15000	0.01000	0.00302	0.03566
2015	0.15000	0.16000	0.01000	0.00309	0.03875
2015	0.16000	0.17000	0.01000	0.00316	0.04191
2015	0.17000	0.18000	0.01000	0.00322	0.04513
2015	0.18000	0.19000	0.01000	0.00329	0.04842
2015	0.19000	0.20000	0.01000	0.00335	0.05177
2015	0.20000	0.21000	0.01000	0.00341	0.05518
2015	0.21000	0.22000	0.01000	0.00348	0.05866
2015	0.22000	0.23000	0.01000	0.00354	0.06219
2015	0.23000	0.24000	0.01000	0.00360	0.06579
2015	0.24000	0.25000	0.01000	0.00366	0.06945
2015	0.25000	0.26000	0.01000	0.00372	0.07317
2015	0.26000	0.27000	0.01000	0.00379	0.07697
2015	0.27000	0.28000	0.01000	0.00386	0.08082
2015	0.28000	0.29000	0.01000	0.00392	0.08474
2015	0.29000	0.30000	0.01000	0.00398	0.08872
2015	0.30000	0.31000	0.01000	0.00404	0.09277
2015	0.31000	0.32000	0.01000	0.00411	0.09688
2015	0.32000	0.33000	0.01000	0.00417	0.10105
2015	0.33000	0.34000	0.01000	0.00424	0.10529
2015	0.34000	0.35000	0.01000	0.00430	0.10959
2015	0.35000	0.36000	0.01000	0.00437	0.11395
2015	0.36000	0.37000	0.01000	0.00443	0.11839
2015	0.37000	0.38000	0.01000	0.00450	0.12289
2015	0.38000	0.39000	0.01000	0.00457	0.12745
2015	0.39000	0.40000	0.01000	0.00463	0.13209
2015	0.40000	0.41000	0.01000	0.00470	0.13679
2015	0.41000	0.42000	0.01000	0.00477	0.14155
