year	low	high	width	share	cumul	# sptinc992j
2013	0.00000	0.01000	0.01000	0.00071	0.00071
2013	0.01000	0.02000	0.01000	0.00093	0.00163
2013	0.02000	0.03000	0.01000	0.00116	0.00279
2013	0.03000	0.04000	0.01000	0.00136	0.00415
2013	0.04000	0.05000	0.01000	0.00151	0.00566
2013	0.05000	0.06000	0.01000	0.00165	0.00731
2013	0.06000	0.07000	0.01000	0.00177	0.00907
2013	0.07000	0.08000	0.01000	0.00185	0.01093
2013	0.08000	0.09000	0.01000	0.00195	0.01288
2013	0.09000	0.10000	0.01000	0.00203	0.01490
2013	0.10000	0.11000	0.01000	0.00210	0.01701
2013	0.11000	0.12000	0.01000	0.00218	0.01918
2013	0.12000	0.13000	0.01000	0.00225	0.02144
2013	0.13000	0.14000	0.01000	0.00232	0.02376
2013	0.14000	0.15000	0.01000	0.00239	0.02615
2013	0.15000	0.16000	0.01000	0.00246	0.02860
2013	0.16000	0.17000	0.01000	0.00252	0.03113
2013	0.17000	0.18000	0.01000	0.00260	0.03372
2013	0.18000	0.19000	0.01000	0.00266	0.03639
2013	0.19000	0.20000	0.01000	0.00272	0.03911
2013	0.20000	0.21000	0.01000	0.00278	0.04189
2013	0.21000	0.22000	0.01000	0.00284	0.04473
2013	0.22000	0.23000	0.01000	0.00290	0.04764
2013	0.23000	0.24000	0.01000	0.00296	0.05060
2013	0.24000	0.25000	0.01000	0.00302	0.05363
2013	0.25000	0.26000	0.01000	0.00308	0.05671
2013	0.26000	0.27000	0.01000	0.00314	0.05985
2013	0.27000	0.28000	0.01000	0.00319	0.06304
2013	0.28000	0.29000	0.01000	0.00325	0.06629
2013	0.29000	0.30000	0.01000	0.00331	0.06960
2013	0.30000	0.31000	0.01000	0.00338	0.07298
2013	0.31000	0.32000	0.01000	0.00344	0.07642
2013	0.32000	0.33000	0.01000	0.00350	0.07992
2013	0.33000	0.34000	0.01000	0.00355	0.08347
2013	0.34000	0.35000	0.01000	0.00361	0.08708
2013	0.35000	0.36000	0.01000	0.00367	0.09075
2013	0.36000	0.37000	0.01000	0.00373	0.09448
2013	0.37000	0.38000	0.01000	0.00379	0.09827
2013	0.38000	0.39000	0.01000	0.00386	0.10213
2013	0.39000	0.40000	0.01000	0.00392	0.10604
2013	0.40000	0.41000	0.01000	0.00398	0.11002
2013	0.41000	0.42000	0.01000	0.00405	0.11407
2013	0.42000	0.43000	0.01000	0.00411	0.11818
2013	0.43000	0.44000	0.01000	0.00419	0.12237
2013	0.44000	0.45000	0.01000	0.00427	0.12664
2013	0.45000	0.46000	0.01000	0.00434	0.13098
2013	0.46000	0.47000	0.01000	0.00442	0.13540
2013	0.47000	0.48000	0.01000	0.00448	0.13988
2013	0.48000	0.49000	0.01000	0.00455	0.14443
2013	0.49000	0.50000	0.01000	0.00463	0.14906
2013	0.50000	0.51000	0.01000	0.00470	0.15376
2013	0.51000	0.52000	0.01000	0.00479	0.15855
2013	0.52000	0.53000	0.01000	0.00487	0.16342
2013	0.53000	0.54000	0.01000	0.00497	0.16838
2013	0.54000	0.55000	0.01000	0.00504	0.17343
2013	0.55000	0.56000	0.01000	0.00513	0.17856
2013	0.56000	0.57000	0.01000	0.00522	0.18378
2013	0.57000	0.58000	0.01000	0.00531	0.18909
2013	0.58000	0.59000	0.01000	0.00541	0.19449
2013	0.59000	0.60000	0.01000	0.00551	0.20001
2013	0.60000	0.61000	0.01000	0.00563	0.20563
2013	0.61000	0.62000	0.01000	0.00574	0.21137
2013	0.62000	0.63000	0.01000	0.00585	0.21722
2013	0.63000	0.64000	0.01000	0.00597	0.22319
2013	0.64000	0.65000	0.01000	0.00608	0.22927
2013	0.65000	0.66000	0.01000	0.00619	0.23546
2013	0.66000	0.67000	0.01000	0.00631	0.24176
2013	0.67000	0.68000	0.01000	0.00643	0.24820
2013	0.68000	0.69000	0.01000	0.00657	0.25476
2013	0.69000	0.70000	0.01000	0.00670	0.26147
2013	0.70000	0.71000	0.01000	0.00686	0.26832
2013	0.71000	0.72000	0.01000	0.00700	0.27533
2013	0.72000	0.73000	0.01000	0.00718	0.28251
2013	0.73000	0.74000	0.01000	0.00738	0.28989
2013	0.74000	0.75000	0.01000	0.00754	0.29743
2013	0.75000	0.76000	0.01000	0.00772	0.30515
2013	0.76000	0.77000	0.01000	0.00792	0.31307
2013	0.77000	0.78000	0.01000	0.00814	0.32121
2013	0.78000	0.79000	0.01000	0.00837	0.32958
2013	0.79000	0.80000	0.01000	0.00870	0.33828
