year	low	high	width	share	cumul	# sptinc992i
2016	0.00000	0.90000	0.90000	0.56680	0.56680
2016	0.90000	0.95000	0.05000	0.14050	0.70730
2016	0.95000	0.99000	0.04000	0.17110	0.87840
2016	0.99000	0.99500	0.00500	0.03400	0.91240
2016	0.99500	0.99900	0.00400	0.04460	0.95700
2016	0.99900	0.99950	0.00050	0.01120	0.96820
2016	0.99950	0.99990	0.00040	0.01590	0.98410
2016	0.99990	1.00000	0.00010	0.01590	1.00000
2015	0.00000	0.90000	0.90000	0.56870	0.56870
2015	0.90000	0.95000	0.05000	0.13950	0.70820
2015	0.95000	0.99000	0.04000	0.17100	0.87920
2015	0.99000	0.99500	0.00500	0.03380	0.91300
2015	0.99500	0.99900	0.00400	0.04390	0.95690
2015	0.99900	0.99950	0.00050	0.01100	0.96790
2015	0.99950	0.99990	0.00040	0.01560	0.98350
2015	0.99990	1.00000	0.00010	0.01650	1.00000
2014	0.00000	0.90000	0.90000	0.57310	0.57310
2014	0.90000	0.95000	0.05000	0.13860	0.71170
2014	0.95000	0.99000	0.04000	0.17050	0.88220
2014	0.99000	0.99500	0.00500	0.03350	0.91570
2014	0.99500	0.99900	0.00400	0.04300	0.95870
2014	0.99900	0.99950	0.00050	0.01070	0.96940
2014	0.99950	0.99990	0.00040	0.01520	0.98460
2014	0.99990	1.00000	0.00010	0.01540	1.00000
2013	0.00000	0.90000	0.90000	0.57450	0.57450
2013	0.90000	0.95000	0.05000	0.13900	0.71350
2013	0.95000	0.99000	0.04000	0.17020	0.88370
2013	0.99000	0.99500	0.00500	0.03330	0.91700
2013	0.99500	0.99900	0.00400	0.04220	0.95920
2013	0.99900	0.99950	0.00050	0.01040	0.96960
2013	0.99950	0.99990	0.00040	0.01500	0.98460
2013	0.99990	1.00000	0.00010	0.01540	1.00000
2012	0.00000	0.90000	0.90000	0.57260	0.57260
2012	0.90000	0.95000	0.05000	0.13890	0.71150
2012	0.95000	0.99000	0.04000	0.17110	0.88260
2012	0.99000	0.99500	0.00500	0.03350	0.91610
2012	0.99500	0.99900	0.00400	0.04210	0.95820
2012	0.99900	0.99950	0.00050	0.01050	0.96870
2012	0.99950	0.99990	0.00040	0.01530	0.98400
2012	0.99990	1.00000	0.00010	0.01600	1.00000
2011	0.00000	0.90000	0.90000	0.56870	0.56870
2011	0.90000	0.95000	0.05000	0.13880	0.70750
2011	0.95000	0.99000	0.04000	0.17230	0.87980
2011	0.99000	0.99500	0.00500	0.03400	0.91380
2011	0.99500	0.99900	0.00400	0.04280	0.95660
2011	0.99900	0.99950	0.00050	0.01080	0.96740
2011	0.99950	0.99990	0.00040	0.01600	0.98340
2011	0.99990	1.00000	0.00010	0.01660	1.00000
2010	0.00000	0.90000	0.90000	0.56970	0.56970
2010	0.90000	0.95000	0.05000	0.13960	0.70930
2010	0.95000	0.99000	0.04000	0.17330	0.88260
2010	0.99000	0.99500	0.00500	0.03390	0.91650
2010	0.99500	0.99900	0.00400	0.04180	0.95830
2010	0.99900	0.99950	0.00050	0.01020	0.96850
2010	0.99950	0.99990	0.00040	0.01490	0.98340
2010	0.99990	1.00000	0.00010	0.01660	1.00000
2009	0.00000	0.90000	0.90000	0.57530	0.57530
2009	0.90000	0.95000	0.05000	0.13950	0.71480
2009	0.95000	0.99000	0.04000	0.17210	0.88690
2009	0.99000	0.99500	0.00500	0.03300	0.91990
2009	0.99500	0.99900	0.00400	0.04050	0.96040
2009	0.99900	0.99950	0.00050	0.00970	0.97010
2009	0.99950	0.99990	0.00040	0.01420	0.98430
2009	0.99990	1.00000	0.00010	0.01570	1.00000
2008	0.00000	0.90000	0.90000	0.57130	0.57130
2008	0.90000	0.95000	0.05000	0.14080	0.71210
2008	0.95000	0.99000	0.04000	0.17410	0.88620
2008	0.99000	0.99500	0.00500	0.03340	0.91960
2008	0.99500	0.99900	0.00400	0.04040	0.96000
2008	0.99900	0.99950	0.00050	0.00970	0.96970
2008	0.99950	0.99990	0.00040	0.01450	0.98420
2008	0.99990	1.00000	0.00010	0.01580	1.00000
2007	0.00000	0.90000	0.90000	0.57650	0.57650
2007	0.90000	0.95000	0.05000	0.13890	0.71540
2007	0.95000	0.99000	0.04000	0.17170	0.88710
2007	0.99000	0.99500	0.00500	0.03310	0.92020
2007	0.99500	0.99900	0.00400	0.03990	0.96010
2007	0.99900	0.99950	0.00050	0.00950	0.96960
2007	0.99950	0.99990	0.00040	0.01440	0.98400
2007	0.99990	1.00000	0.00010	0.01600	1.00000
2006	0.00000	0.90000	0.90000	0.58170	0.58170
2006	0.90000	0.95000	0.05000	0.13760	0.71930
2006	0.95000	0.99000	0.04000	0.17430	0.89360
2006	0.99000	0.99500	0.00500	0.03260	0.92620
2006	0.99500	0.99900	0.00400	0.03790	0.96410
2006	0.99900	0.99950	0.00050	0.00880	0.97290
2006	0.99950	0.99990	0.00040	0.01290	0.98580
2006	0.99990	1.00000	0.00010	0.01420	1.00000
2005	0.00000	0.90000	0.90000	0.62900	0.62900
2005	0.90000	0.95000	0.05000	0.11980	0.74880
2005	0.95000	0.99000	0.04000	0.15520	0.90400
2005	0.99000	0.99500	0.00500	0.02910	0.93310
2005	0.99500	0.99900	0.00400	0.03430	0.96740
2005	0.99900	0.99950	0.00050	0.00810	0.97550
2005	0.99950	0.99990	0.00040	0.01160	0.98710
2005	0.99990	1.00000	0.00010	0.01290	1.00000
2004	0.00000	0.90000	0.90000	0.61440	0.61440
2004	0.90000	0.95000	0.05000	0.13130	0.74570
2004	0.95000	0.99000	0.04000	0.15900	0.90470
2004	0.99000	0.99500	0.00500	0.03010	0.93480
2004	0.99500	0.99900	0.00400	0.03460	0.96940
2004	0.99900	0.99950	0.00050	0.00750	0.97690
2004	0.99950	0.99990	0.00040	0.01090	0.98780
2004	0.99990	1.00000	0.00010	0.01220	1.00000
2003	0.00000	0.90000	0.90000	0.61610	0.61610
2003	0.90000	0.95000	0.05000	0.13750	0.75360
2003	0.95000	0.99000	0.04000	0.15500	0.90860
2003	0.99000	0.99500	0.00500	0.02880	0.93740
