year	low	high	width	share	cumul	# sptinc992j
2013	0.00000	0.01000	0.01000	0.00032	0.00032
2013	0.01000	0.02000	0.01000	0.00111	0.00143
2013	0.02000	0.03000	0.01000	0.00143	0.00286
2013	0.03000	0.04000	0.01000	0.00155	0.00441
2013	0.04000	0.05000	0.01000	0.00161	0.00601
2013	0.05000	0.06000	0.01000	0.00165	0.00767
2013	0.06000	0.07000	0.01000	0.00169	0.00936
2013	0.07000	0.08000	0.01000	0.00173	0.01109
2013	0.08000	0.09000	0.01000	0.00177	0.01286
2013	0.09000	0.10000	0.01000	0.00181	0.01467
2013	0.10000	0.11000	0.01000	0.00184	0.01652
2013	0.11000	0.12000	0.01000	0.00188	0.01840
2013	0.12000	0.13000	0.01000	0.00191	0.02031
2013	0.13000	0.14000	0.01000	0.00196	0.02227
2013	0.14000	0.15000	0.01000	0.00201	0.02427
2013	0.15000	0.16000	0.01000	0.00208	0.02635
2013	0.16000	0.17000	0.01000	0.00217	0.02852
2013	0.17000	0.18000	0.01000	0.00228	0.03080
2013	0.18000	0.19000	0.01000	0.00239	0.03320
2013	0.19000	0.20000	0.01000	0.00251	0.03571
2013	0.20000	0.21000	0.01000	0.00263	0.03834
2013	0.21000	0.22000	0.01000	0.00272	0.04106
2013	0.22000	0.23000	0.01000	0.00279	0.04385
2013	0.23000	0.24000	0.01000	0.00283	0.04668
2013	0.24000	0.25000	0.01000	0.00287	0.04955
2013	0.25000	0.26000	0.01000	0.00290	0.05246
2013	0.26000	0.27000	0.01000	0.00294	0.05539
2013	0.27000	0.28000	0.01000	0.00296	0.05836
2013	0.28000	0.29000	0.01000	0.00299	0.06135
2013	0.29000	0.30000	0.01000	0.00301	0.06436
2013	0.30000	0.31000	0.01000	0.00304	0.06740
2013	0.31000	0.32000	0.01000	0.00307	0.07047
2013	0.32000	0.33000	0.01000	0.00309	0.07356
2013	0.33000	0.34000	0.01000	0.00312	0.07668
2013	0.34000	0.35000	0.01000	0.00314	0.07982
2013	0.35000	0.36000	0.01000	0.00317	0.08299
2013	0.36000	0.37000	0.01000	0.00320	0.08619
2013	0.37000	0.38000	0.01000	0.00324	0.08943
2013	0.38000	0.39000	0.01000	0.00328	0.09272
2013	0.39000	0.40000	0.01000	0.00332	0.09604
2013	0.40000	0.41000	0.01000	0.00337	0.09940
2013	0.41000	0.42000	0.01000	0.00341	0.10281
2013	0.42000	0.43000	0.01000	0.00345	0.10626
2013	0.43000	0.44000	0.01000	0.00349	0.10975
2013	0.44000	0.45000	0.01000	0.00353	0.11328
2013	0.45000	0.46000	0.01000	0.00357	0.11686
2013	0.46000	0.47000	0.01000	0.00361	0.12047
2013	0.47000	0.48000	0.01000	0.00366	0.12412
2013	0.48000	0.49000	0.01000	0.00370	0.12782
2013	0.49000	0.50000	0.01000	0.00374	0.13156
2013	0.50000	0.51000	0.01000	0.00379	0.13535
2013	0.51000	0.52000	0.01000	0.00384	0.13919
2013	0.52000	0.53000	0.01000	0.00390	0.14309
2013	0.53000	0.54000	0.01000	0.00395	0.14704
2013	0.54000	0.55000	0.01000	0.00401	0.15105
2013	0.55000	0.56000	0.01000	0.00407	0.15512
2013	0.56000	0.57000	0.01000	0.00413	0.15924
2013	0.57000	0.58000	0.01000	0.00419	0.16343
2013	0.58000	0.59000	0.01000	0.00427	0.16770
2013	0.59000	0.60000	0.01000	0.00434	0.17204
2013	0.60000	0.61000	0.01000	0.00442	0.17646
2013	0.61000	0.62000	0.01000	0.00451	0.18097
2013	0.62000	0.63000	0.01000	0.00460	0.18557
2013	0.63000	0.64000	0.01000	0.00471	0.19027
2013	0.64000	0.65000	0.01000	0.00483	0.19510
2013	0.65000	0.66000	0.01000	0.00497	0.20007
2013	0.66000	0.67000	0.01000	0.00512	0.20519
2013	0.67000	0.68000	0.01000	0.00531	0.21049
2013	0.68000	0.69000	0.01000	0.00553	0.21602
2013	0.69000	0.70000	0.01000	0.00577	0.22179
2013	0.70000	0.71000	0.01000	0.00605	0.22785
2013	0.71000	0.72000	0.01000	0.00637	0.23422
2013	0.72000	0.73000	0.01000	0.00672	0.24094
