year	low	high	width	share	cumul	# sptinc992j
2014	0.00000	0.01000	0.01000	-0.00048	-0.00048
2014	0.01000	0.02000	0.01000	-0.00007	-0.00056
2014	0.02000	0.03000	0.01000	0.00006	-0.00050
2014	0.03000	0.04000	0.01000	0.00020	-0.00030
2014	0.04000	0.05000	0.01000	0.00039	0.00009
2014	0.05000	0.06000	0.01000	0.00061	0.00071
2014	0.06000	0.07000	0.01000	0.00076	0.00147
2014	0.07000	0.08000	0.01000	0.00088	0.00234
2014	0.08000	0.09000	0.01000	0.00099	0.00333
2014	0.09000	0.10000	0.01000	0.00110	0.00443
2014	0.10000	0.11000	0.01000	0.00121	0.00564
2014	0.11000	0.12000	0.01000	0.00130	0.00694
2014	0.12000	0.13000	0.01000	0.00139	0.00833
2014	0.13000	0.14000	0.01000	0.00146	0.00980
2014	0.14000	0.15000	0.01000	0.00153	0.01133
2014	0.15000	0.16000	0.01000	0.00159	0.01292
2014	0.16000	0.17000	0.01000	0.00165	0.01456
2014	0.17000	0.18000	0.01000	0.00170	0.01626
2014	0.18000	0.19000	0.01000	0.00176	0.01802
2014	0.19000	0.20000	0.01000	0.00181	0.01983
2014	0.20000	0.21000	0.01000	0.00187	0.02171
2014	0.21000	0.22000	0.01000	0.00194	0.02365
2014	0.22000	0.23000	0.01000	0.00201	0.02565
2014	0.23000	0.24000	0.01000	0.00208	0.02773
2014	0.24000	0.25000	0.01000	0.00215	0.02988
2014	0.25000	0.26000	0.01000	0.00222	0.03210
2014	0.26000	0.27000	0.01000	0.00229	0.03439
2014	0.27000	0.28000	0.01000	0.00235	0.03673
2014	0.28000	0.29000	0.01000	0.00240	0.03914
2014	0.29000	0.30000	0.01000	0.00246	0.04160
2014	0.30000	0.31000	0.01000	0.00252	0.04412
2014	0.31000	0.32000	0.01000	0.00258	0.04669
2014	0.32000	0.33000	0.01000	0.00264	0.04933
2014	0.33000	0.34000	0.01000	0.00270	0.05203
2014	0.34000	0.35000	0.01000	0.00277	0.05480
2014	0.35000	0.36000	0.01000	0.00285	0.05765
2014	0.36000	0.37000	0.01000	0.00292	0.06057
2014	0.37000	0.38000	0.01000	0.00300	0.06357
2014	0.38000	0.39000	0.01000	0.00308	0.06665
2014	0.39000	0.40000	0.01000	0.00316	0.06981
2014	0.40000	0.41000	0.01000	0.00324	0.07306
2014	0.41000	0.42000	0.01000	0.00333	0.07639
2014	0.42000	0.43000	0.01000	0.00342	0.07980
2014	0.43000	0.44000	0.01000	0.00351	0.08331
2014	0.44000	0.45000	0.01000	0.00360	0.08691
2014	0.45000	0.46000	0.01000	0.00370	0.09061
2014	0.46000	0.47000	0.01000	0.00379	0.09440
2014	0.47000	0.48000	0.01000	0.00390	0.09830
2014	0.48000	0.49000	0.01000	0.00400	0.10230
2014	0.49000	0.50000	0.01000	0.00411	0.10640
2014	0.50000	0.51000	0.01000	0.00422	0.11062
2014	0.51000	0.52000	0.01000	0.00433	0.11495
2014	0.52000	0.53000	0.01000	0.00445	0.11940
2014	0.53000	0.54000	0.01000	0.00456	0.12396
2014	0.54000	0.55000	0.01000	0.00468	0.12864
2014	0.55000	0.56000	0.01000	0.00480	0.13343
2014	0.56000	0.57000	0.01000	0.00492	0.13835
2014	0.57000	0.58000	0.01000	0.00504	0.14339
2014	0.58000	0.59000	0.01000	0.00517	0.14856
2014	0.59000	0.60000	0.01000	0.00530	0.15386
2014	0.60000	0.61000	0.01000	0.00543	0.15928
2014	0.61000	0.62000	0.01000	0.00556	0.16484
2014	0.62000	0.63000	0.01000	0.00569	0.17053
2014	0.63000	0.64000	0.01000	0.00583	0.17636
2014	0.64000	0.65000	0.01000	0.00597	0.18232
2014	0.65000	0.66000	0.01000	0.00611	0.18843
2014	0.66000	0.67000	0.01000	0.00626	0.19469
2014	0.67000	0.68000	0.01000	0.00642	0.20111
2014	0.68000	0.69000	0.01000	0.00658	0.20769
2014	0.69000	0.70000	0.01000	0.00675	0.21443
2014	0.70000	0.71000	0.01000	0.00692	0.22135
2014	0.71000	0.72000	0.01000	0.00711	0.22846
2014	0.72000	0.73000	0.01000	0.00731	0.23577
2014	0.73000	0.74000	0.01000	0.00752	0.24329
2014	0.74000	0.75000	0.01000	0.00774	0.25103
2014	0.75000	0.76000	0.01000	0.00798	0.25900
2014	0.76000	0.77000	0.01000	0.00824	0.26724
2014	0.77000	0.78000	0.01000	0.00853	0.27577
2014	0.78000	0.79000	0.01000	0.00885	0.28462
2014	0.79000	0.80000	0.01000	0.00921	0.29383
2014	0.80000	0.81000	0.01000	0.00963	0.30346
2014	0.81000	0.82000	0.01000	0.01012	0.31358
2014	0.82000	0.83000	0.01000	0.01072	0.32431
2014	0.83000	0.84000	0.01000	0.01144	0.33574
2014	0.84000	0.85000	0.01000	0.01230	0.34805
2014	0.85000	0.86000	0.01000	0.01333	0.36138
2014	0.86000	0.87000	0.01000	0.01454	0.37592
2014	0.87000	0.88000	0.01000	0.01597	0.39189
2014	0.88000	0.89000	0.01000	0.01762	0.40951
2014	0.89000	0.90000	0.01000	0.01947	0.42898
2014	0.90000	0.91000	0.01000	0.02151	0.45048
2014	0.91000	0.92000	0.01000	0.02371	0.47419
2014	0.92000	0.93000	0.01000	0.02614	0.50034
2014	0.93000	0.94000	0.01000	0.02895	0.52929
2014	0.94000	0.95000	0.01000	0.03238	0.56167
2014	0.95000	0.96000	0.01000	0.03685	0.59851
2014	0.96000	0.97000	0.01000	0.04318	0.64169
2014	0.97000	0.98000	0.01000	0.05322	0.69491
2014	0.98000	0.99000	0.01000	0.07110	0.76601
2014	0.99000	0.99100	0.00100	0.00885	0.77486
2014	0.99100	0.99200	0.00100	0.00938	0.78424
2014	0.99200	0.99300	0.00100	0.01004	0.79428
2014	0.99300	0.99400	0.00100	0.01084	0.80512
2014	0.99400	0.99500	0.00100	0.01187	0.81699
2014	0.99500	0.99600	0.00100	0.01325	0.83024
2014	0.99600	0.99700	0.00100	0.01522	0.84546
2014	0.99700	0.99800	0.00100	0.01842	0.86388
2014	0.99800	0.99900	0.00100	0.02512	0.88899
2014	0.99900	0.99910	0.00010	0.00327	0.89226
2014	0.99910	0.99920	0.00010	0.00351	0.89577
2014	0.99920	0.99930	0.00010	0.00381	0.89959
2014	0.99930	0.99940	0.00010	0.00419	0.90378
2014	0.99940	0.99950	0.00010	0.00469	0.90847
