year	low	high	width	share	cumul	# sptinc992j
2010	0.00000	0.01000	0.01000	-0.00030	-0.00030
2010	0.01000	0.02000	0.01000	-0.00002	-0.00032
2010	0.02000	0.03000	0.01000	0.00011	-0.00021
2010	0.03000	0.04000	0.01000	0.00038	0.00016
2010	0.04000	0.05000	0.01000	0.00054	0.00070
2010	0.05000	0.06000	0.01000	0.00059	0.00129
2010	0.06000	0.07000	0.01000	0.00062	0.00191
2010	0.07000	0.08000	0.01000	0.00066	0.00257
2010	0.08000	0.09000	0.01000	0.00070	0.00327
2010	0.09000	0.10000	0.01000	0.00077	0.00403
2010	0.10000	0.11000	0.01000	0.00092	0.00496
2010	0.11000	0.12000	0.01000	0.00111	0.00606
2010	0.12000	0.13000	0.01000	0.00117	0.00724
2010	0.13000	0.14000	0.01000	0.00121	0.00844
2010	0.14000	0.15000	0.01000	0.00124	0.00968
2010	0.15000	0.16000	0.01000	0.00127	0.01095
2010	0.16000	0.17000	0.01000	0.00132	0.01227
2010	0.17000	0.18000	0.01000	0.00139	0.01366
2010	0.18000	0.19000	0.01000	0.00152	0.01518
2010	0.19000	0.20000	0.01000	0.00169	0.01687
2010	0.20000	0.21000	0.01000	0.00176	0.01863
2010	0.21000	0.22000	0.01000	0.00180	0.02043
2010	0.22000	0.23000	0.01000	0.00184	0.02226
2010	0.23000	0.24000	0.01000	0.00188	0.02414
2010	0.24000	0.25000	0.01000	0.00192	0.02606
2010	0.25000	0.26000	0.01000	0.00199	0.02805
2010	0.26000	0.27000	0.01000	0.00210	0.03015
2010	0.27000	0.28000	0.01000	0.00225	0.03240
2010	0.28000	0.29000	0.01000	0.00235	0.03475
2010	0.29000	0.30000	0.01000	0.00240	0.03715
2010	0.30000	0.31000	0.01000	0.00245	0.03960
2010	0.31000	0.32000	0.01000	0.00250	0.04210
2010	0.32000	0.33000	0.01000	0.00258	0.04468
2010	0.33000	0.34000	0.01000	0.00269	0.04736
2010	0.34000	0.35000	0.01000	0.00282	0.05019
2010	0.35000	0.36000	0.01000	0.00293	0.05312
2010	0.36000	0.37000	0.01000	0.00300	0.05612
2010	0.37000	0.38000	0.01000	0.00306	0.05918
2010	0.38000	0.39000	0.01000	0.00314	0.06231
2010	0.39000	0.40000	0.01000	0.00324	0.06556
2010	0.40000	0.41000	0.01000	0.00337	0.06892
2010	0.41000	0.42000	0.01000	0.00349	0.07241
2010	0.42000	0.43000	0.01000	0.00357	0.07598
2010	0.43000	0.44000	0.01000	0.00364	0.07963
2010	0.44000	0.45000	0.01000	0.00373	0.08336
2010	0.45000	0.46000	0.01000	0.00384	0.08720
2010	0.46000	0.47000	0.01000	0.00396	0.09117
2010	0.47000	0.48000	0.01000	0.00408	0.09525
2010	0.48000	0.49000	0.01000	0.00416	0.09941
2010	0.49000	0.50000	0.01000	0.00423	0.10364
2010	0.50000	0.51000	0.01000	0.00432	0.10796
2010	0.51000	0.52000	0.01000	0.00441	0.11237
2010	0.52000	0.53000	0.01000	0.00451	0.11687
2010	0.53000	0.54000	0.01000	0.00461	0.12148
2010	0.54000	0.55000	0.01000	0.00470	0.12618
2010	0.55000	0.56000	0.01000	0.00479	0.13098
2010	0.56000	0.57000	0.01000	0.00490	0.13588
2010	0.57000	0.58000	0.01000	0.00502	0.14090
2010	0.58000	0.59000	0.01000	0.00516	0.14606
2010	0.59000	0.60000	0.01000	0.00532	0.15138
2010	0.60000	0.61000	0.01000	0.00546	0.15684
2010	0.61000	0.62000	0.01000	0.00564	0.16248
2010	0.62000	0.63000	0.01000	0.00581	0.16829
2010	0.63000	0.64000	0.01000	0.00596	0.17425
2010	0.64000	0.65000	0.01000	0.00611	0.18036
2010	0.65000	0.66000	0.01000	0.00625	0.18662
2010	0.66000	0.67000	0.01000	0.00644	0.19306
2010	0.67000	0.68000	0.01000	0.00665	0.19970
2010	0.68000	0.69000	0.01000	0.00692	0.20662
2010	0.69000	0.70000	0.01000	0.00723	0.21385
2010	0.70000	0.71000	0.01000	0.00752	0.22137
2010	0.71000	0.72000	0.01000	0.00780	0.22917
2010	0.72000	0.73000	0.01000	0.00807	0.23724
2010	0.73000	0.74000	0.01000	0.00834	0.24557
2010	0.74000	0.75000	0.01000	0.00860	0.25417
2010	0.75000	0.76000	0.01000	0.00887	0.26305
2010	0.76000	0.77000	0.01000	0.00916	0.27221
2010	0.77000	0.78000	0.01000	0.00947	0.28168
2010	0.78000	0.79000	0.01000	0.00981	0.29148
2010	0.79000	0.80000	0.01000	0.01019	0.30167
2010	0.80000	0.81000	0.01000	0.01064	0.31231
2010	0.81000	0.82000	0.01000	0.01117	0.32348
2010	0.82000	0.83000	0.01000	0.01182	0.33530
2010	0.83000	0.84000	0.01000	0.01259	0.34789
2010	0.84000	0.85000	0.01000	0.01351	0.36141
2010	0.85000	0.86000	0.01000	0.01460	0.37600
2010	0.86000	0.87000	0.01000	0.01587	0.39187
2010	0.87000	0.88000	0.01000	0.01736	0.40923
2010	0.88000	0.89000	0.01000	0.01911	0.42834
2010	0.89000	0.90000	0.01000	0.02111	0.44945
2010	0.90000	0.91000	0.01000	0.02338	0.47283
2010	0.91000	0.92000	0.01000	0.02596	0.49879
2010	0.92000	0.93000	0.01000	0.02891	0.52769
2010	0.93000	0.94000	0.01000	0.03234	0.56004
2010	0.94000	0.95000	0.01000	0.03644	0.59648
2010	0.95000	0.96000	0.01000	0.04149	0.63797
2010	0.96000	0.97000	0.01000	0.04801	0.68598
2010	0.97000	0.98000	0.01000	0.05714	0.74312
2010	0.98000	0.99000	0.01000	0.07253	0.81565
2010	0.99000	1.00000	0.01000	0.18435	1.00000
