year	low	high	width	share	cumul	# sptinc992j
2015	0.00000	0.01000	0.01000	0.00030	0.00030
2015	0.01000	0.02000	0.01000	0.00080	0.00110
2015	0.02000	0.03000	0.01000	0.00130	0.00240
2015	0.03000	0.04000	0.01000	0.00180	0.00420
2015	0.04000	0.05000	0.01000	0.00230	0.00650
2015	0.05000	0.06000	0.01000	0.00260	0.00910
2015	0.06000	0.07000	0.01000	0.00290	0.01200
2015	0.07000	0.08000	0.01000	0.00310	0.01510
2015	0.08000	0.09000	0.01000	0.00320	0.01830
2015	0.09000	0.10000	0.01000	0.00340	0.02170
2015	0.10000	0.11000	0.01000	0.00350	0.02520
2015	0.11000	0.12000	0.01000	0.00360	0.02880
2015	0.12000	0.13000	0.01000	0.00370	0.03250
2015	0.13000	0.14000	0.01000	0.00390	0.03640
2015	0.14000	0.15000	0.01000	0.00400	0.04040
2015	0.15000	0.16000	0.01000	0.00410	0.04450
2015	0.16000	0.17000	0.01000	0.00420	0.04870
2015	0.17000	0.18000	0.01000	0.00440	0.05310
2015	0.18000	0.19000	0.01000	0.00450	0.05760
2015	0.19000	0.20000	0.01000	0.00450	0.06210
2015	0.20000	0.21000	0.01000	0.00470	0.06680
2015	0.21000	0.22000	0.01000	0.00480	0.07160
2015	0.22000	0.23000	0.01000	0.00490	0.07650
2015	0.23000	0.24000	0.01000	0.00500	0.08150
2015	0.24000	0.25000	0.01000	0.00510	0.08660
2015	0.25000	0.26000	0.01000	0.00520	0.09180
2015	0.26000	0.27000	0.01000	0.00530	0.09710
2015	0.27000	0.28000	0.01000	0.00540	0.10250
2015	0.28000	0.29000	0.01000	0.00540	0.10790
2015	0.29000	0.30000	0.01000	0.00540	0.11330
2015	0.30000	0.31000	0.01000	0.00560	0.11890
2015	0.31000	0.32000	0.01000	0.00570	0.12460
2015	0.32000	0.33000	0.01000	0.00580	0.13040
2015	0.33000	0.34000	0.01000	0.00590	0.13630
2015	0.34000	0.35000	0.01000	0.00600	0.14230
2015	0.35000	0.36000	0.01000	0.00610	0.14840
2015	0.36000	0.37000	0.01000	0.00620	0.15460
2015	0.37000	0.38000	0.01000	0.00630	0.16090
2015	0.38000	0.39000	0.01000	0.00630	0.16720
2015	0.39000	0.40000	0.01000	0.00640	0.17360
2015	0.40000	0.41000	0.01000	0.00650	0.18010
2015	0.41000	0.42000	0.01000	0.00660	0.18670
2015	0.42000	0.43000	0.01000	0.00670	0.19340
2015	0.43000	0.44000	0.01000	0.00680	0.20020
2015	0.44000	0.45000	0.01000	0.00690	0.20710
2015	0.45000	0.46000	0.01000	0.00700	0.21410
2015	0.46000	0.47000	0.01000	0.00710	0.22120
2015	0.47000	0.48000	0.01000	0.00710	0.22830
2015	0.48000	0.49000	0.01000	0.00720	0.23550
2015	0.49000	0.50000	0.01000	0.00720	0.24270
2015	0.50000	0.51000	0.01000	0.00740	0.25010
2015	0.51000	0.52000	0.01000	0.00760	0.25770
2015	0.52000	0.53000	0.01000	0.00770	0.26540
2015	0.53000	0.54000	0.01000	0.00780	0.27320
2015	0.54000	0.55000	0.01000	0.00790	0.28110
2015	0.55000	0.56000	0.01000	0.00800	0.28910
2015	0.56000	0.57000	0.01000	0.00810	0.29720
2015	0.57000	0.58000	0.01000	0.00820	0.30540
2015	0.58000	0.59000	0.01000	0.00830	0.31370
2015	0.59000	0.60000	0.01000	0.00830	0.32200
2015	0.60000	0.61000	0.01000	0.00850	0.33050
2015	0.61000	0.62000	0.01000	0.00860	0.33910
2015	0.62000	0.63000	0.01000	0.00880	0.34790
2015	0.63000	0.64000	0.01000	0.00890	0.35680
2015	0.64000	0.65000	0.01000	0.00900	0.36580
2015	0.65000	0.66000	0.01000	0.00910	0.37490
2015	0.66000	0.67000	0.01000	0.00930	0.38420
2015	0.67000	0.68000	0.01000	0.00940	0.39360
2015	0.68000	0.69000	0.01000	0.00960	0.40320
2015	0.69000	0.70000	0.01000	0.00970	0.41290
2015	0.70000	0.71000	0.01000	0.00990	0.42280
2015	0.71000	0.72000	0.01000	0.01000	0.43280
2015	0.72000	0.73000	0.01000	0.01020	0.44300
2015	0.73000	0.74000	0.01000	0.01040	0.45340
2015	0.74000	0.75000	0.01000	0.01060	0.46400
2015	0.75000	0.76000	0.01000	0.01070	0.47470
2015	0.76000	0.77000	0.01000	0.01090	0.48560
2015	0.77000	0.78000	0.01000	0.01110	0.49670
2015	0.78000	0.79000	0.01000	0.01130	0.50800
2015	0.79000	0.80000	0.01000	0.01170	0.51970
2015	0.80000	0.81000	0.01000	0.01180	0.53150
2015	0.81000	0.82000	0.01000	0.01210	0.54360
2015	0.82000	0.83000	0.01000	0.01230	0.55590
2015	0.83000	0.84000	0.01000	0.01270	0.56860
2015	0.84000	0.85000	0.01000	0.01300	0.58160
2015	0.85000	0.86000	0.01000	0.01340	0.59500
2015	0.86000	0.87000	0.01000	0.01390	0.60890
2015	0.87000	0.88000	0.01000	0.01440	0.62330
2015	0.88000	0.89000	0.01000	0.01500	0.63830
2015	0.89000	0.90000	0.01000	0.01550	0.65380
2015	0.90000	0.91000	0.01000	0.01630	0.67010
2015	0.91000	0.92000	0.01000	0.01720	0.68730
2015	0.92000	0.93000	0.01000	0.01820	0.70550
2015	0.93000	0.94000	0.01000	0.01950	0.72500
2015	0.94000	0.95000	0.01000	0.02090	0.74590
2015	0.95000	0.96000	0.01000	0.02230	0.76820
2015	0.96000	0.97000	0.01000	0.02770	0.79590
2015	0.97000	0.98000	0.01000	0.03400	0.82990
2015	0.98000	0.99000	0.01000	0.04550	0.87540
2015	0.99000	0.99100	0.00100	0.00550	0.88090
2015	0.99100	0.99200	0.00100	0.00610	0.88700
2015	0.99200	0.99300	0.00100	0.00650	0.89350
2015	0.99300	0.99400	0.00100	0.00700	0.90050
2015	0.99400	0.99500	0.00100	0.00770	0.90820
2015	0.99500	0.99600	0.00100	0.00860	0.91680
2015	0.99600	0.99700	0.00100	0.01010	0.92690
2015	0.99700	0.99800	0.00100	0.01230	0.93920
2015	0.99800	0.99900	0.00100	0.01660	0.95580
2015	0.99900	0.99910	0.00010	0.00210	0.95790
2015	0.99910	0.99920	0.00010	0.00220	0.96010
2015	0.99920	0.99930	0.00010	0.00240	0.96250
2015	0.99930	0.99940	0.00010	0.00260	0.96510
2015	0.99940	0.99950	0.00010	0.00290	0.96800
2015	0.99950	0.99960	0.00010	0.00320	0.97120
2015	0.99960	0.99970	0.00010	0.00370	0.97490
2015	0.99970	0.99980	0.00010	0.00440	0.97930
2015	0.99980	0.99990	0.00010	0.00580	0.98510
2015	0.99990	0.99991	0.00001	0.00070	0.98580
2015	0.99991	0.99992	0.00001	0.00080	0.98660
2015	0.99992	0.99993	0.00001	0.00080	0.98740
2015	0.99993	0.99994	0.00001	0.00090	0.98830
2015	0.99994	0.99995	0.00001	0.00100	0.98930
2015	0.99995	0.99996	0.00001	0.00110	0.99040
2015	0.99996	0.99997	0.00001	0.00120	0.99160
2015	0.99997	0.99998	0.00001	0.00150	0.99310
2015	0.99998	0.99999	0.00001	0.00200	0.99510
2015	0.99999	1.00000	0.00001	0.00490	1.00000
2014	0.00000	0.01000	0.01000	0.00030	0.00030
2014	0.01000	0.02000	0.01000	0.00080	0.00110
2014	0.02000	0.03000	0.01000	0.00130	0.00240
2014	0.03000	0.04000	0.01000	0.00170	0.00410
2014	0.04000	0.05000	0.01000	0.00220	0.00630
2014	0.05000	0.06000	0.01000	0.00250	0.00880
2014	0.06000	0.07000	0.01000	0.00280	0.01160
2014	0.07000	0.08000	0.01000	0.00300	0.01460
2014	0.08000	0.09000	0.01000	0.00320	0.01780
2014	0.09000	0.10000	0.01000	0.00320	0.02100
2014	0.10000	0.11000	0.01000	0.00340	0.02440
2014	0.11000	0.12000	0.01000	0.00360	0.02800
2014	0.12000	0.13000	0.01000	0.00370	0.03170
2014	0.13000	0.14000	0.01000	0.00380	0.03550
2014	0.14000	0.15000	0.01000	0.00390	0.03940
2014	0.15000	0.16000	0.01000	0.00410	0.04350
2014	0.16000	0.17000	0.01000	0.00420	0.04770
2014	0.17000	0.18000	0.01000	0.00430	0.05200
2014	0.18000	0.19000	0.01000	0.00440	0.05640
2014	0.19000	0.20000	0.01000	0.00440	0.06080
2014	0.20000	0.21000	0.01000	0.00460	0.06540
2014	0.21000	0.22000	0.01000	0.00470	0.07010
2014	0.22000	0.23000	0.01000	0.00480	0.07490
2014	0.23000	0.24000	0.01000	0.00490	0.07980
2014	0.24000	0.25000	0.01000	0.00500	0.08480
2014	0.25000	0.26000	0.01000	0.00510	0.08990
2014	0.26000	0.27000	0.01000	0.00520	0.09510
2014	0.27000	0.28000	0.01000	0.00530	0.10040
2014	0.28000	0.29000	0.01000	0.00540	0.10580
2014	0.29000	0.30000	0.01000	0.00540	0.11120
2014	0.30000	0.31000	0.01000	0.00560	0.11680
2014	0.31000	0.32000	0.01000	0.00570	0.12250
2014	0.32000	0.33000	0.01000	0.00580	0.12830
2014	0.33000	0.34000	0.01000	0.00590	0.13420
2014	0.34000	0.35000	0.01000	0.00600	0.14020
2014	0.35000	0.36000	0.01000	0.00610	0.14630
2014	0.36000	0.37000	0.01000	0.00620	0.15250
2014	0.37000	0.38000	0.01000	0.00620	0.15870
2014	0.38000	0.39000	0.01000	0.00630	0.16500
2014	0.39000	0.40000	0.01000	0.00640	0.17140
2014	0.40000	0.41000	0.01000	0.00650	0.17790
2014	0.41000	0.42000	0.01000	0.00660	0.18450
2014	0.42000	0.43000	0.01000	0.00670	0.19120
2014	0.43000	0.44000	0.01000	0.00670	0.19790
2014	0.44000	0.45000	0.01000	0.00680	0.20470
2014	0.45000	0.46000	0.01000	0.00690	0.21160
2014	0.46000	0.47000	0.01000	0.00700	0.21860
2014	0.47000	0.48000	0.01000	0.00710	0.22570
2014	0.48000	0.49000	0.01000	0.00720	0.23290
2014	0.49000	0.50000	0.01000	0.00740	0.24030
2014	0.50000	0.51000	0.01000	0.00740	0.24770
2014	0.51000	0.52000	0.01000	0.00750	0.25520
2014	0.52000	0.53000	0.01000	0.00760	0.26280
2014	0.53000	0.54000	0.01000	0.00770	0.27050
2014	0.54000	0.55000	0.01000	0.00780	0.27830
2014	0.55000	0.56000	0.01000	0.00790	0.28620
2014	0.56000	0.57000	0.01000	0.00800	0.29420
2014	0.57000	0.58000	0.01000	0.00810	0.30230
2014	0.58000	0.59000	0.01000	0.00820	0.31050
2014	0.59000	0.60000	0.01000	0.00860	0.31910
2014	0.60000	0.61000	0.01000	0.00840	0.32750
2014	0.61000	0.62000	0.01000	0.00850	0.33600
2014	0.62000	0.63000	0.01000	0.00870	0.34470
2014	0.63000	0.64000	0.01000	0.00880	0.35350
2014	0.64000	0.65000	0.01000	0.00890	0.36240
2014	0.65000	0.66000	0.01000	0.00910	0.37150
2014	0.66000	0.67000	0.01000	0.00920	0.38070
2014	0.67000	0.68000	0.01000	0.00940	0.39010
2014	0.68000	0.69000	0.01000	0.00960	0.39970
2014	0.69000	0.70000	0.01000	0.00980	0.40950
2014	0.70000	0.71000	0.01000	0.00990	0.41940
2014	0.71000	0.72000	0.01000	0.01010	0.42950
2014	0.72000	0.73000	0.01000	0.01020	0.43970
2014	0.73000	0.74000	0.01000	0.01040	0.45010
2014	0.74000	0.75000	0.01000	0.01060	0.46070
2014	0.75000	0.76000	0.01000	0.01080	0.47150
2014	0.76000	0.77000	0.01000	0.01100	0.48250
2014	0.77000	0.78000	0.01000	0.01120	0.49370
2014	0.78000	0.79000	0.01000	0.01140	0.50510
2014	0.79000	0.80000	0.01000	0.01170	0.51680
2014	0.80000	0.81000	0.01000	0.01200	0.52880
2014	0.81000	0.82000	0.01000	0.01220	0.54100
2014	0.82000	0.83000	0.01000	0.01250	0.55350
2014	0.83000	0.84000	0.01000	0.01280	0.56630
2014	0.84000	0.85000	0.01000	0.01310	0.57940
2014	0.85000	0.86000	0.01000	0.01340	0.59280
2014	0.86000	0.87000	0.01000	0.01390	0.60670
2014	0.87000	0.88000	0.01000	0.01450	0.62120
2014	0.88000	0.89000	0.01000	0.01510	0.63630
2014	0.89000	0.90000	0.01000	0.01570	0.65200
2014	0.90000	0.91000	0.01000	0.01650	0.66850
2014	0.91000	0.92000	0.01000	0.01740	0.68590
2014	0.92000	0.93000	0.01000	0.01840	0.70430
2014	0.93000	0.94000	0.01000	0.01960	0.72390
2014	0.94000	0.95000	0.01000	0.02110	0.74500
2014	0.95000	0.96000	0.01000	0.02330	0.76830
2014	0.96000	0.97000	0.01000	0.02810	0.79640
2014	0.97000	0.98000	0.01000	0.03430	0.83070
2014	0.98000	0.99000	0.01000	0.04600	0.87670
2014	0.99000	0.99100	0.00100	0.00560	0.88230
2014	0.99100	0.99200	0.00100	0.00620	0.88850
2014	0.99200	0.99300	0.00100	0.00660	0.89510
2014	0.99300	0.99400	0.00100	0.00720	0.90230
2014	0.99400	0.99500	0.00100	0.00780	0.91010
2014	0.99500	0.99600	0.00100	0.00850	0.91860
2014	0.99600	0.99700	0.00100	0.00960	0.92820
2014	0.99700	0.99800	0.00100	0.01140	0.93960
2014	0.99800	0.99900	0.00100	0.01510	0.95470
2014	0.99900	0.99910	0.00010	0.00190	0.95660
2014	0.99910	0.99920	0.00010	0.00200	0.95860
2014	0.99920	0.99930	0.00010	0.00220	0.96080
2014	0.99930	0.99940	0.00010	0.00240	0.96320
2014	0.99940	0.99950	0.00010	0.00260	0.96580
2014	0.99950	0.99960	0.00010	0.00290	0.96870
2014	0.99960	0.99970	0.00010	0.00340	0.97210
2014	0.99970	0.99980	0.00010	0.00410	0.97620
2014	0.99980	0.99990	0.00010	0.00560	0.98180
2014	0.99990	0.99991	0.00001	0.00070	0.98250
2014	0.99991	0.99992	0.00001	0.00080	0.98330
