year	low	high	width	share	cumul	# sptinc992j
2011	0.00000	0.01000	0.01000	0.00017	0.00017
2011	0.01000	0.02000	0.01000	0.00060	0.00077
2011	0.02000	0.03000	0.01000	0.00083	0.00161
2011	0.03000	0.04000	0.01000	0.00095	0.00255
2011	0.04000	0.05000	0.01000	0.00102	0.00357
2011	0.05000	0.06000	0.01000	0.00112	0.00469
2011	0.06000	0.07000	0.01000	0.00122	0.00591
2011	0.07000	0.08000	0.01000	0.00131	0.00722
2011	0.08000	0.09000	0.01000	0.00139	0.00861
2011	0.09000	0.10000	0.01000	0.00147	0.01008
2011	0.10000	0.11000	0.01000	0.00155	0.01163
2011	0.11000	0.12000	0.01000	0.00163	0.01326
2011	0.12000	0.13000	0.01000	0.00169	0.01495
2011	0.13000	0.14000	0.01000	0.00176	0.01672
2011	0.14000	0.15000	0.01000	0.00184	0.01856
2011	0.15000	0.16000	0.01000	0.00192	0.02048
2011	0.16000	0.17000	0.01000	0.00201	0.02249
2011	0.17000	0.18000	0.01000	0.00209	0.02458
2011	0.18000	0.19000	0.01000	0.00217	0.02675
2011	0.19000	0.20000	0.01000	0.00225	0.02900
2011	0.20000	0.21000	0.01000	0.00232	0.03132
2011	0.21000	0.22000	0.01000	0.00240	0.03372
2011	0.22000	0.23000	0.01000	0.00248	0.03620
2011	0.23000	0.24000	0.01000	0.00256	0.03876
2011	0.24000	0.25000	0.01000	0.00263	0.04139
2011	0.25000	0.26000	0.01000	0.00270	0.04409
2011	0.26000	0.27000	0.01000	0.00279	0.04688
2011	0.27000	0.28000	0.01000	0.00288	0.04975
2011	0.28000	0.29000	0.01000	0.00297	0.05272
2011	0.29000	0.30000	0.01000	0.00305	0.05577
2011	0.30000	0.31000	0.01000	0.00314	0.05891
2011	0.31000	0.32000	0.01000	0.00322	0.06213
2011	0.32000	0.33000	0.01000	0.00331	0.06544
2011	0.33000	0.34000	0.01000	0.00339	0.06882
2011	0.34000	0.35000	0.01000	0.00346	0.07229
2011	0.35000	0.36000	0.01000	0.00354	0.07583
2011	0.36000	0.37000	0.01000	0.00363	0.07946
2011	0.37000	0.38000	0.01000	0.00371	0.08316
2011	0.38000	0.39000	0.01000	0.00379	0.08695
2011	0.39000	0.40000	0.01000	0.00387	0.09083
2011	0.40000	0.41000	0.01000	0.00396	0.09479
2011	0.41000	0.42000	0.01000	0.00406	0.09884
2011	0.42000	0.43000	0.01000	0.00415	0.10300
2011	0.43000	0.44000	0.01000	0.00426	0.10726
2011	0.44000	0.45000	0.01000	0.00436	0.11161
