year	low	high	width	share	cumul	# sptinc992j
2015	0.00000	0.01000	0.01000	-0.00009	-0.00009
2015	0.01000	0.02000	0.01000	0.00001	-0.00009
2015	0.02000	0.03000	0.01000	0.00005	-0.00004
2015	0.03000	0.04000	0.01000	0.00009	0.00005
2015	0.04000	0.05000	0.01000	0.00012	0.00017
2015	0.05000	0.06000	0.01000	0.00016	0.00033
2015	0.06000	0.07000	0.01000	0.00019	0.00052
2015	0.07000	0.08000	0.01000	0.00024	0.00076
2015	0.08000	0.09000	0.01000	0.00043	0.00119
2015	0.09000	0.10000	0.01000	0.00108	0.00227
2015	0.10000	0.11000	0.01000	0.00163	0.00390
2015	0.11000	0.12000	0.01000	0.00193	0.00583
2015	0.12000	0.13000	0.01000	0.00220	0.00802
2015	0.13000	0.14000	0.01000	0.00242	0.01045
2015	0.14000	0.15000	0.01000	0.00261	0.01306
2015	0.15000	0.16000	0.01000	0.00278	0.01584
2015	0.16000	0.17000	0.01000	0.00293	0.01877
2015	0.17000	0.18000	0.01000	0.00306	0.02183
2015	0.18000	0.19000	0.01000	0.00318	0.02501
2015	0.19000	0.20000	0.01000	0.00329	0.02830
2015	0.20000	0.21000	0.01000	0.00340	0.03170
2015	0.21000	0.22000	0.01000	0.00350	0.03520
2015	0.22000	0.23000	0.01000	0.00360	0.03880
2015	0.23000	0.24000	0.01000	0.00369	0.04249
2015	0.24000	0.25000	0.01000	0.00378	0.04628
2015	0.25000	0.26000	0.01000	0.00388	0.05015
2015	0.26000	0.27000	0.01000	0.00396	0.05412
2015	0.27000	0.28000	0.01000	0.00405	0.05817
2015	0.28000	0.29000	0.01000	0.00414	0.06231
2015	0.29000	0.30000	0.01000	0.00424	0.06655
2015	0.30000	0.31000	0.01000	0.00433	0.07088
2015	0.31000	0.32000	0.01000	0.00442	0.07530
2015	0.32000	0.33000	0.01000	0.00452	0.07982
2015	0.33000	0.34000	0.01000	0.00461	0.08443
2015	0.34000	0.35000	0.01000	0.00470	0.08913
2015	0.35000	0.36000	0.01000	0.00478	0.09392
2015	0.36000	0.37000	0.01000	0.00487	0.09878
2015	0.37000	0.38000	0.01000	0.00495	0.10373
2015	0.38000	0.39000	0.01000	0.00503	0.10876
2015	0.39000	0.40000	0.01000	0.00512	0.11388
2015	0.40000	0.41000	0.01000	0.00521	0.11909
2015	0.41000	0.42000	0.01000	0.00530	0.12439
2015	0.42000	0.43000	0.01000	0.00540	0.12979
2015	0.43000	0.44000	0.01000	0.00549	0.13527
2015	0.44000	0.45000	0.01000	0.00557	0.14084
2015	0.45000	0.46000	0.01000	0.00565	0.14650
2015	0.46000	0.47000	0.01000	0.00573	0.15223
2015	0.47000	0.48000	0.01000	0.00581	0.15803
2015	0.48000	0.49000	0.01000	0.00589	0.16392
2015	0.49000	0.50000	0.01000	0.00598	0.16990
2015	0.50000	0.51000	0.01000	0.00607	0.17597
2015	0.51000	0.52000	0.01000	0.00618	0.18215
2015	0.52000	0.53000	0.01000	0.00629	0.18844
2015	0.53000	0.54000	0.01000	0.00642	0.19485
2015	0.54000	0.55000	0.01000	0.00654	0.20140
2015	0.55000	0.56000	0.01000	0.00667	0.20807
2015	0.56000	0.57000	0.01000	0.00680	0.21488
2015	0.57000	0.58000	0.01000	0.00693	0.22181
2015	0.58000	0.59000	0.01000	0.00706	0.22886
2015	0.59000	0.60000	0.01000	0.00718	0.23605
2015	0.60000	0.61000	0.01000	0.00731	0.24336
2015	0.61000	0.62000	0.01000	0.00744	0.25080
2015	0.62000	0.63000	0.01000	0.00758	0.25838
2015	0.63000	0.64000	0.01000	0.00772	0.26609
2015	0.64000	0.65000	0.01000	0.00786	0.27395
2015	0.65000	0.66000	0.01000	0.00800	0.28195
2015	0.66000	0.67000	0.01000	0.00815	0.29011
2015	0.67000	0.68000	0.01000	0.00831	0.29842
2015	0.68000	0.69000	0.01000	0.00848	0.30690
2015	0.69000	0.70000	0.01000	0.00866	0.31556
2015	0.70000	0.71000	0.01000	0.00885	0.32441
2015	0.71000	0.72000	0.01000	0.00906	0.33347
2015	0.72000	0.73000	0.01000	0.00928	0.34275
2015	0.73000	0.74000	0.01000	0.00951	0.35226
2015	0.74000	0.75000	0.01000	0.00976	0.36202
2015	0.75000	0.76000	0.01000	0.01002	0.37204
2015	0.76000	0.77000	0.01000	0.01028	0.38231
2015	0.77000	0.78000	0.01000	0.01054	0.39286
2015	0.78000	0.79000	0.01000	0.01082	0.40368
2015	0.79000	0.80000	0.01000	0.01110	0.41477
2015	0.80000	0.81000	0.01000	0.01139	0.42616
2015	0.81000	0.82000	0.01000	0.01169	0.43785
2015	0.82000	0.83000	0.01000	0.01200	0.44985
2015	0.83000	0.84000	0.01000	0.01233	0.46218
2015	0.84000	0.85000	0.01000	0.01268	0.47486
2015	0.85000	0.86000	0.01000	0.01305	0.48791
2015	0.86000	0.87000	0.01000	0.01346	0.50137
2015	0.87000	0.88000	0.01000	0.01390	0.51527
2015	0.88000	0.89000	0.01000	0.01442	0.52969
2015	0.89000	0.90000	0.01000	0.01513	0.54482
2015	0.90000	0.91000	0.01000	0.01643	0.56125
2015	0.91000	0.92000	0.01000	0.01832	0.57958
2015	0.92000	0.93000	0.01000	0.02053	0.60011
2015	0.93000	0.94000	0.01000	0.02290	0.62301
