year	low	high	width	share	cumul	# sptinc992j
2016	0.00000	0.01000	0.01000	-0.00003	-0.00003
2016	0.01000	0.02000	0.01000	0.00026	0.00024
2016	0.02000	0.03000	0.01000	0.00049	0.00072
2016	0.03000	0.04000	0.01000	0.00071	0.00143
2016	0.04000	0.05000	0.01000	0.00092	0.00235
2016	0.05000	0.06000	0.01000	0.00114	0.00349
2016	0.06000	0.07000	0.01000	0.00135	0.00484
2016	0.07000	0.08000	0.01000	0.00155	0.00639
2016	0.08000	0.09000	0.01000	0.00175	0.00814
2016	0.09000	0.10000	0.01000	0.00194	0.01008
2016	0.10000	0.11000	0.01000	0.00212	0.01220
2016	0.11000	0.12000	0.01000	0.00229	0.01449
2016	0.12000	0.13000	0.01000	0.00245	0.01694
2016	0.13000	0.14000	0.01000	0.00260	0.01954
2016	0.14000	0.15000	0.01000	0.00273	0.02226
2016	0.15000	0.16000	0.01000	0.00284	0.02511
2016	0.16000	0.17000	0.01000	0.00294	0.02805
2016	0.17000	0.18000	0.01000	0.00302	0.03107
2016	0.18000	0.19000	0.01000	0.00309	0.03416
2016	0.19000	0.20000	0.01000	0.00312	0.03728
2016	0.20000	0.21000	0.01000	0.00314	0.04042
2016	0.21000	0.22000	0.01000	0.00315	0.04357
2016	0.22000	0.23000	0.01000	0.00317	0.04674
2016	0.23000	0.24000	0.01000	0.00318	0.04992
2016	0.24000	0.25000	0.01000	0.00320	0.05312
2016	0.25000	0.26000	0.01000	0.00321	0.05632
2016	0.26000	0.27000	0.01000	0.00322	0.05955
2016	0.27000	0.28000	0.01000	0.00324	0.06279
2016	0.28000	0.29000	0.01000	0.00326	0.06605
2016	0.29000	0.30000	0.01000	0.00329	0.06933
2016	0.30000	0.31000	0.01000	0.00331	0.07265
2016	0.31000	0.32000	0.01000	0.00334	0.07599
2016	0.32000	0.33000	0.01000	0.00337	0.07937
2016	0.33000	0.34000	0.01000	0.00341	0.08277
2016	0.34000	0.35000	0.01000	0.00344	0.08622
2016	0.35000	0.36000	0.01000	0.00348	0.08970
2016	0.36000	0.37000	0.01000	0.00352	0.09322
2016	0.37000	0.38000	0.01000	0.00357	0.09679
2016	0.38000	0.39000	0.01000	0.00362	0.10042
2016	0.39000	0.40000	0.01000	0.00368	0.10410
2016	0.40000	0.41000	0.01000	0.00375	0.10785
2016	0.41000	0.42000	0.01000	0.00382	0.11167
2016	0.42000	0.43000	0.01000	0.00391	0.11558
2016	0.43000	0.44000	0.01000	0.00401	0.11959
2016	0.44000	0.45000	0.01000	0.00411	0.12370
2016	0.45000	0.46000	0.01000	0.00423	0.12793
2016	0.46000	0.47000	0.01000	0.00435	0.13228
2016	0.47000	0.48000	0.01000	0.00448	0.13676
2016	0.48000	0.49000	0.01000	0.00461	0.14137
2016	0.49000	0.50000	0.01000	0.00475	0.14613
2016	0.50000	0.51000	0.01000	0.00489	0.15102
2016	0.51000	0.52000	0.01000	0.00503	0.15604
2016	0.52000	0.53000	0.01000	0.00517	0.16121
2016	0.53000	0.54000	0.01000	0.00530	0.16651
2016	0.54000	0.55000	0.01000	0.00543	0.17195
2016	0.55000	0.56000	0.01000	0.00556	0.17751
2016	0.56000	0.57000	0.01000	0.00568	0.18319
2016	0.57000	0.58000	0.01000	0.00579	0.18897
2016	0.58000	0.59000	0.01000	0.00589	0.19486
2016	0.59000	0.60000	0.01000	0.00598	0.20084
2016	0.60000	0.61000	0.01000	0.00607	0.20691
2016	0.61000	0.62000	0.01000	0.00616	0.21307
