year	low	high	width	share	cumul	# sptinc992j
2016	0.00000	0.01000	0.01000	0.00010	0.00010
2016	0.01000	0.02000	0.01000	0.00020	0.00030
2016	0.02000	0.03000	0.01000	0.00020	0.00050
2016	0.03000	0.04000	0.01000	0.00020	0.00070
2016	0.04000	0.05000	0.01000	0.00020	0.00090
2016	0.05000	0.06000	0.01000	0.00020	0.00110
2016	0.06000	0.07000	0.01000	0.00020	0.00130
2016	0.07000	0.08000	0.01000	0.00020	0.00150
2016	0.08000	0.09000	0.01000	0.00030	0.00180
2016	0.09000	0.10000	0.01000	0.00030	0.00210
2016	0.10000	0.11000	0.01000	0.00040	0.00250
2016	0.11000	0.12000	0.01000	0.00060	0.00310
2016	0.12000	0.13000	0.01000	0.00090	0.00400
2016	0.13000	0.14000	0.01000	0.00130	0.00530
2016	0.14000	0.15000	0.01000	0.00160	0.00690
2016	0.15000	0.16000	0.01000	0.00190	0.00880
2016	0.16000	0.17000	0.01000	0.00200	0.01080
2016	0.17000	0.18000	0.01000	0.00200	0.01280
2016	0.18000	0.19000	0.01000	0.00210	0.01490
2016	0.19000	0.20000	0.01000	0.00210	0.01700
2016	0.20000	0.21000	0.01000	0.00210	0.01910
2016	0.21000	0.22000	0.01000	0.00220	0.02130
2016	0.22000	0.23000	0.01000	0.00230	0.02360
2016	0.23000	0.24000	0.01000	0.00250	0.02610
2016	0.24000	0.25000	0.01000	0.00260	0.02870
2016	0.25000	0.26000	0.01000	0.00280	0.03150
2016	0.26000	0.27000	0.01000	0.00300	0.03450
2016	0.27000	0.28000	0.01000	0.00310	0.03760
2016	0.28000	0.29000	0.01000	0.00330	0.04090
2016	0.29000	0.30000	0.01000	0.00330	0.04420
2016	0.30000	0.31000	0.01000	0.00340	0.04760
2016	0.31000	0.32000	0.01000	0.00350	0.05110
2016	0.32000	0.33000	0.01000	0.00360	0.05470
2016	0.33000	0.34000	0.01000	0.00360	0.05830
2016	0.34000	0.35000	0.01000	0.00360	0.06190
2016	0.35000	0.36000	0.01000	0.00360	0.06550
2016	0.36000	0.37000	0.01000	0.00360	0.06910
2016	0.37000	0.38000	0.01000	0.00370	0.07280
2016	0.38000	0.39000	0.01000	0.00370	0.07650
2016	0.39000	0.40000	0.01000	0.00370	0.08020
2016	0.40000	0.41000	0.01000	0.00380	0.08400
2016	0.41000	0.42000	0.01000	0.00390	0.08790
2016	0.42000	0.43000	0.01000	0.00400	0.09190
2016	0.43000	0.44000	0.01000	0.00410	0.09600
2016	0.44000	0.45000	0.01000	0.00420	0.10020
2016	0.45000	0.46000	0.01000	0.00430	0.10450
2016	0.46000	0.47000	0.01000	0.00440	0.10890
2016	0.47000	0.48000	0.01000	0.00450	0.11340
2016	0.48000	0.49000	0.01000	0.00460	0.11800
2016	0.49000	0.50000	0.01000	0.00450	0.12250
2016	0.50000	0.51000	0.01000	0.00480	0.12730
2016	0.51000	0.52000	0.01000	0.00490	0.13220
2016	0.52000	0.53000	0.01000	0.00500	0.13720
2016	0.53000	0.54000	0.01000	0.00510	0.14230
2016	0.54000	0.55000	0.01000	0.00520	0.14750
2016	0.55000	0.56000	0.01000	0.00530	0.15280
2016	0.56000	0.57000	0.01000	0.00540	0.15820
2016	0.57000	0.58000	0.01000	0.00560	0.16380
2016	0.58000	0.59000	0.01000	0.00570	0.16950
2016	0.59000	0.60000	0.01000	0.00580	0.17530
2016	0.60000	0.61000	0.01000	0.00600	0.18130
2016	0.61000	0.62000	0.01000	0.00610	0.18740
2016	0.62000	0.63000	0.01000	0.00630	0.19370
2016	0.63000	0.64000	0.01000	0.00640	0.20010
2016	0.64000	0.65000	0.01000	0.00660	0.20670
2016	0.65000	0.66000	0.01000	0.00680	0.21350
2016	0.66000	0.67000	0.01000	0.00690	0.22040
2016	0.67000	0.68000	0.01000	0.00710	0.22750
2016	0.68000	0.69000	0.01000	0.00720	0.23470
2016	0.69000	0.70000	0.01000	0.00720	0.24190
2016	0.70000	0.71000	0.01000	0.00750	0.24940
2016	0.71000	0.72000	0.01000	0.00770	0.25710
2016	0.72000	0.73000	0.01000	0.00780	0.26490
2016	0.73000	0.74000	0.01000	0.00800	0.27290
2016	0.74000	0.75000	0.01000	0.00830	0.28120
2016	0.75000	0.76000	0.01000	0.00850	0.28970
2016	0.76000	0.77000	0.01000	0.00880	0.29850
2016	0.77000	0.78000	0.01000	0.00900	0.30750
2016	0.78000	0.79000	0.01000	0.00930	0.31680
2016	0.79000	0.80000	0.01000	0.00950	0.32630
2016	0.80000	0.81000	0.01000	0.00990	0.33620
2016	0.81000	0.82000	0.01000	0.01020	0.34640
2016	0.82000	0.83000	0.01000	0.01050	0.35690
2016	0.83000	0.84000	0.01000	0.01090	0.36780
2016	0.84000	0.85000	0.01000	0.01140	0.37920
2016	0.85000	0.86000	0.01000	0.01190	0.39110
2016	0.86000	0.87000	0.01000	0.01250	0.40360
2016	0.87000	0.88000	0.01000	0.01330	0.41690
2016	0.88000	0.89000	0.01000	0.01430	0.43120
2016	0.89000	0.90000	0.01000	0.01550	0.44670
2016	0.90000	0.91000	0.01000	0.01690	0.46360
2016	0.91000	0.92000	0.01000	0.01850	0.48210
2016	0.92000	0.93000	0.01000	0.02040	0.50250
2016	0.93000	0.94000	0.01000	0.02280	0.52530
2016	0.94000	0.95000	0.01000	0.02570	0.55100
2016	0.95000	0.96000	0.01000	0.02960	0.58060
2016	0.96000	0.97000	0.01000	0.03510	0.61570
2016	0.97000	0.98000	0.01000	0.04380	0.65950
2016	0.98000	0.99000	0.01000	0.06210	0.72160
2016	0.99000	0.99100	0.00100	0.00830	0.72990
2016	0.99100	0.99200	0.00100	0.00900	0.73890
