year	low	high	width	share	cumul	# sptinc992j
2016	0.00000	0.01000	0.01000	-0.00010	-0.00010
2016	0.01000	0.02000	0.01000	0.00000	-0.00010
2016	0.02000	0.03000	0.01000	0.00000	-0.00010
2016	0.03000	0.04000	0.01000	0.00010	0.00000
2016	0.04000	0.05000	0.01000	0.00010	0.00010
2016	0.05000	0.06000	0.01000	0.00020	0.00030
2016	0.06000	0.07000	0.01000	0.00020	0.00050
2016	0.07000	0.08000	0.01000	0.00020	0.00070
2016	0.08000	0.09000	0.01000	0.00040	0.00110
2016	0.09000	0.10000	0.01000	0.00120	0.00230
2016	0.10000	0.11000	0.01000	0.00160	0.00390
2016	0.11000	0.12000	0.01000	0.00190	0.00580
2016	0.12000	0.13000	0.01000	0.00220	0.00800
2016	0.13000	0.14000	0.01000	0.00240	0.01040
2016	0.14000	0.15000	0.01000	0.00260	0.01300
2016	0.15000	0.16000	0.01000	0.00280	0.01580
2016	0.16000	0.17000	0.01000	0.00290	0.01870
2016	0.17000	0.18000	0.01000	0.00310	0.02180
2016	0.18000	0.19000	0.01000	0.00320	0.02500
2016	0.19000	0.20000	0.01000	0.00330	0.02830
2016	0.20000	0.21000	0.01000	0.00340	0.03170
2016	0.21000	0.22000	0.01000	0.00350	0.03520
2016	0.22000	0.23000	0.01000	0.00360	0.03880
2016	0.23000	0.24000	0.01000	0.00370	0.04250
2016	0.24000	0.25000	0.01000	0.00380	0.04630
2016	0.25000	0.26000	0.01000	0.00390	0.05020
2016	0.26000	0.27000	0.01000	0.00400	0.05420
2016	0.27000	0.28000	0.01000	0.00410	0.05830
2016	0.28000	0.29000	0.01000	0.00410	0.06240
2016	0.29000	0.30000	0.01000	0.00410	0.06650
2016	0.30000	0.31000	0.01000	0.00430	0.07080
2016	0.31000	0.32000	0.01000	0.00440	0.07520
2016	0.32000	0.33000	0.01000	0.00450	0.07970
2016	0.33000	0.34000	0.01000	0.00460	0.08430
2016	0.34000	0.35000	0.01000	0.00470	0.08900
2016	0.35000	0.36000	0.01000	0.00480	0.09380
2016	0.36000	0.37000	0.01000	0.00490	0.09870
2016	0.37000	0.38000	0.01000	0.00490	0.10360
2016	0.38000	0.39000	0.01000	0.00500	0.10860
2016	0.39000	0.40000	0.01000	0.00520	0.11380
2016	0.40000	0.41000	0.01000	0.00520	0.11900
2016	0.41000	0.42000	0.01000	0.00530	0.12430
2016	0.42000	0.43000	0.01000	0.00540	0.12970
2016	0.43000	0.44000	0.01000	0.00550	0.13520
2016	0.44000	0.45000	0.01000	0.00560	0.14080
2016	0.45000	0.46000	0.01000	0.00570	0.14650
2016	0.46000	0.47000	0.01000	0.00570	0.15220
