year,low,high,width,share,cumul,code,name,Continent_Name
2009,0.0,0.01,0.01,8e-05,8e-05,AE,United Arab Emirates,Asia
2009,0.01,0.02,0.01,0.00041,0.00047999999999999996,AE,United Arab Emirates,Asia
2009,0.02,0.03,0.01,0.00067,0.00115,AE,United Arab Emirates,Asia
2009,0.03,0.04,0.01,0.0009,0.00205,AE,United Arab Emirates,Asia
2009,0.04,0.05,0.01,0.00112,0.00317,AE,United Arab Emirates,Asia
2009,0.05,0.06,0.01,0.00131,0.00448,AE,United Arab Emirates,Asia
2009,0.06,0.07,0.01,0.0015199999999999999,0.006,AE,United Arab Emirates,Asia
2009,0.07,0.08,0.01,0.00168,0.007679999999999999,AE,United Arab Emirates,Asia
2009,0.08,0.09,0.01,0.00176,0.00944,AE,United Arab Emirates,Asia
2009,0.09,0.1,0.01,0.00179,0.01123,AE,United Arab Emirates,Asia
2009,0.1,0.11,0.01,0.00182,0.01305,AE,United Arab Emirates,Asia
2009,0.11,0.12,0.01,0.00185,0.0149,AE,United Arab Emirates,Asia
2009,0.12,0.13,0.01,0.00187,0.01677,AE,United Arab Emirates,Asia
2009,0.13,0.14,0.01,0.0019,0.01867,AE,United Arab Emirates,Asia
2009,0.14,0.15,0.01,0.0019199999999999998,0.02059,AE,United Arab Emirates,Asia
2009,0.15,0.16,0.01,0.0019399999999999999,0.02254,AE,United Arab Emirates,Asia
2009,0.16,0.17,0.01,0.00197,0.0245,AE,United Arab Emirates,Asia
2009,0.17,0.18,0.01,0.00199,0.0265,AE,United Arab Emirates,Asia
2009,0.18,0.19,0.01,0.00202,0.02851,AE,United Arab Emirates,Asia
2009,0.19,0.2,0.01,0.0020399999999999997,0.03055,AE,United Arab Emirates,Asia
2009,0.2,0.21,0.01,0.00206,0.03261,AE,United Arab Emirates,Asia
2009,0.21,0.22,0.01,0.00209,0.0347,AE,United Arab Emirates,Asia
2009,0.22,0.23,0.01,0.0021100000000000003,0.03681,AE,United Arab Emirates,Asia
2009,0.23,0.24,0.01,0.00214,0.03895,AE,United Arab Emirates,Asia
2009,0.24,0.25,0.01,0.00216,0.04111,AE,United Arab Emirates,Asia
2009,0.25,0.26,0.01,0.0021899999999999997,0.0433,AE,United Arab Emirates,Asia
2009,0.26,0.27,0.01,0.00221,0.04551,AE,United Arab Emirates,Asia
2009,0.27,0.28,0.01,0.00224,0.04775,AE,United Arab Emirates,Asia
2009,0.28,0.29,0.01,0.00227,0.05001,AE,United Arab Emirates,Asia
2009,0.29,0.3,0.01,0.0023,0.05231,AE,United Arab Emirates,Asia
2009,0.3,0.31,0.01,0.00233,0.05464,AE,United Arab Emirates,Asia
2009,0.31,0.32,0.01,0.00237,0.057010000000000005,AE,United Arab Emirates,Asia
2009,0.32,0.33,0.01,0.0024100000000000002,0.05942000000000001,AE,United Arab Emirates,Asia
2009,0.33,0.34,0.01,0.00245,0.06187,AE,United Arab Emirates,Asia
2009,0.34,0.35,0.01,0.0025,0.06437000000000001,AE,United Arab Emirates,Asia
2009,0.35,0.36,0.01,0.0025399999999999997,0.06691,AE,United Arab Emirates,Asia
2009,0.36,0.37,0.01,0.00259,0.0695,AE,United Arab Emirates,Asia
2009,0.37,0.38,0.01,0.00263,0.07213,AE,United Arab Emirates,Asia
2009,0.38,0.39,0.01,0.00268,0.07481,AE,United Arab Emirates,Asia
2009,0.39,0.4,0.01,0.00274,0.07756,AE,United Arab Emirates,Asia
2009,0.4,0.41,0.01,0.0028,0.08036,AE,United Arab Emirates,Asia
2009,0.41,0.42,0.01,0.0028699999999999997,0.08323,AE,United Arab Emirates,Asia
2009,0.42,0.43,0.01,0.00294,0.08617000000000001,AE,United Arab Emirates,Asia
2009,0.43,0.44,0.01,0.00301,0.08918,AE,United Arab Emirates,Asia
2009,0.44,0.45,0.01,0.00309,0.09227,AE,United Arab Emirates,Asia
2009,0.45,0.46,0.01,0.00317,0.09543,AE,United Arab Emirates,Asia
2009,0.46,0.47,0.01,0.00325,0.09867999999999999,AE,United Arab Emirates,Asia
2009,0.47,0.48,0.01,0.0033299999999999996,0.10201,AE,United Arab Emirates,Asia
2009,0.48,0.49,0.01,0.0034200000000000003,0.10543,AE,United Arab Emirates,Asia
2009,0.49,0.5,0.01,0.00351,0.10894000000000001,AE,United Arab Emirates,Asia
2009,0.5,0.51,0.01,0.00361,0.11255,AE,United Arab Emirates,Asia
2009,0.51,0.52,0.01,0.00371,0.11625,AE,United Arab Emirates,Asia
2009,0.52,0.53,0.01,0.00381,0.12007000000000001,AE,United Arab Emirates,Asia
2009,0.53,0.54,0.01,0.00392,0.12399,AE,United Arab Emirates,Asia
2009,0.54,0.55,0.01,0.00404,0.12803,AE,United Arab Emirates,Asia
2009,0.55,0.56,0.01,0.00415,0.13218,AE,United Arab Emirates,Asia
2009,0.56,0.57,0.01,0.00427,0.13646,AE,United Arab Emirates,Asia
2009,0.57,0.58,0.01,0.00439,0.14085,AE,United Arab Emirates,Asia
2009,0.58,0.59,0.01,0.00451,0.14536,AE,United Arab Emirates,Asia
2009,0.59,0.6,0.01,0.00464,0.15001,AE,United Arab Emirates,Asia
2009,0.6,0.61,0.01,0.0047799999999999995,0.15479,AE,United Arab Emirates,Asia
2009,0.61,0.62,0.01,0.0049299999999999995,0.15972,AE,United Arab Emirates,Asia
2009,0.62,0.63,0.01,0.00509,0.1648,AE,United Arab Emirates,Asia
2009,0.63,0.64,0.01,0.00526,0.17006,AE,United Arab Emirates,Asia
2009,0.64,0.65,0.01,0.00545,0.17551,AE,United Arab Emirates,Asia
2009,0.65,0.66,0.01,0.00565,0.18116,AE,United Arab Emirates,Asia
2009,0.66,0.67,0.01,0.00587,0.18703,AE,United Arab Emirates,Asia
2009,0.67,0.68,0.01,0.0061,0.19313,AE,United Arab Emirates,Asia
2009,0.68,0.69,0.01,0.00635,0.19949,AE,United Arab Emirates,Asia
2009,0.69,0.7,0.01,0.0066099999999999996,0.20609,AE,United Arab Emirates,Asia
2009,0.7,0.71,0.01,0.00685,0.21295,AE,United Arab Emirates,Asia
2009,0.71,0.72,0.01,0.007090000000000001,0.22004,AE,United Arab Emirates,Asia
2009,0.72,0.73,0.01,0.00732,0.22735999999999998,AE,United Arab Emirates,Asia
2009,0.73,0.74,0.01,0.007559999999999999,0.23492,AE,United Arab Emirates,Asia
2009,0.74,0.75,0.01,0.007809999999999999,0.24274,AE,United Arab Emirates,Asia
2009,0.75,0.76,0.01,0.0081,0.25083,AE,United Arab Emirates,Asia
2009,0.76,0.77,0.01,0.00843,0.25926,AE,United Arab Emirates,Asia
2009,0.77,0.78,0.01,0.008790000000000001,0.26805,AE,United Arab Emirates,Asia
2009,0.78,0.79,0.01,0.009170000000000001,0.27721999999999997,AE,United Arab Emirates,Asia
2009,0.79,0.8,0.01,0.00958,0.2868,AE,United Arab Emirates,Asia
2009,0.8,0.81,0.01,0.01008,0.29688000000000003,AE,United Arab Emirates,Asia
2009,0.81,0.82,0.01,0.010740000000000001,0.30762,AE,United Arab Emirates,Asia
2009,0.82,0.83,0.01,0.01163,0.31924,AE,United Arab Emirates,Asia
2009,0.83,0.84,0.01,0.01261,0.33185,AE,United Arab Emirates,Asia
2009,0.84,0.85,0.01,0.01365,0.3455,AE,United Arab Emirates,Asia
2009,0.85,0.86,0.01,0.014980000000000002,0.36048,AE,United Arab Emirates,Asia
2009,0.86,0.87,0.01,0.01675,0.37723,AE,United Arab Emirates,Asia
2009,0.87,0.88,0.01,0.01847,0.3957,AE,United Arab Emirates,Asia
2009,0.88,0.89,0.01,0.02058,0.41628000000000004,AE,United Arab Emirates,Asia
2009,0.89,0.9,0.01,0.02323,0.43951999999999997,AE,United Arab Emirates,Asia
2009,0.9,0.91,0.01,0.0258,0.46531999999999996,AE,United Arab Emirates,Asia
2009,0.91,0.92,0.01,0.02922,0.49454,AE,United Arab Emirates,Asia
2009,0.92,0.93,0.01,0.03319,0.52773,AE,United Arab Emirates,Asia
2009,0.93,0.94,0.01,0.0376,0.56533,AE,United Arab Emirates,Asia
2009,0.94,0.95,0.01,0.04264,0.60797,AE,United Arab Emirates,Asia
2009,0.95,0.96,0.01,0.04836,0.6563399999999999,AE,United Arab Emirates,Asia
2009,0.96,0.97,0.01,0.05482000000000001,0.71115,AE,United Arab Emirates,Asia
2009,0.97,0.98,0.01,0.06188,0.77303,AE,United Arab Emirates,Asia
2009,0.98,0.99,0.01,0.07125,0.84429,AE,United Arab Emirates,Asia
2009,0.99,0.991,0.001,0.00813,0.8524200000000001,AE,United Arab Emirates,Asia
2009,0.991,0.992,0.001,0.008409999999999999,0.8608299999999999,AE,United Arab Emirates,Asia
2009,0.992,0.993,0.001,0.00877,0.8696,AE,United Arab Emirates,Asia
2009,0.993,0.994,0.001,0.009179999999999999,0.87877,AE,United Arab Emirates,Asia
2009,0.994,0.995,0.001,0.00972,0.88849,AE,United Arab Emirates,Asia
2009,0.995,0.996,0.001,0.010440000000000001,0.8989299999999999,AE,United Arab Emirates,Asia
2009,0.996,0.997,0.001,0.01152,0.91045,AE,United Arab Emirates,Asia
2009,0.997,0.998,0.001,0.0133,0.92375,AE,United Arab Emirates,Asia
2009,0.998,0.999,0.001,0.01706,0.94081,AE,United Arab Emirates,Asia
2009,0.999,0.9991,0.0001,0.00212,0.9429299999999999,AE,United Arab Emirates,Asia
2009,0.9991,0.9992,0.0001,0.00225,0.94519,AE,United Arab Emirates,Asia
2009,0.9992,0.9993,0.0001,0.00242,0.9476,AE,United Arab Emirates,Asia
2009,0.9993,0.9994,0.0001,0.0026100000000000003,0.9502200000000001,AE,United Arab Emirates,Asia
2009,0.9994,0.9995,0.0001,0.00288,0.95309,AE,United Arab Emirates,Asia
2009,0.9995,0.9996,0.0001,0.00324,0.9563299999999999,AE,United Arab Emirates,Asia
2009,0.9996,0.9997,0.0001,0.0037799999999999995,0.96011,AE,United Arab Emirates,Asia
2009,0.9997,0.9998,0.0001,0.00468,0.9647899999999999,AE,United Arab Emirates,Asia
2009,0.9998,0.9999,0.0001,0.00663,0.9714200000000001,AE,United Arab Emirates,Asia
2009,0.9999,0.9999100000000001,1e-05,0.00088,0.9723,AE,United Arab Emirates,Asia
2009,0.9999100000000001,0.99992,1e-05,0.00095,0.97325,AE,United Arab Emirates,Asia
2009,0.99992,0.9999299999999999,1e-05,0.00103,0.9742799999999999,AE,United Arab Emirates,Asia
2009,0.9999299999999999,0.9999399999999999,1e-05,0.0011300000000000001,0.97541,AE,United Arab Emirates,Asia
2009,0.9999399999999999,0.99995,1e-05,0.0012699999999999999,0.9766799999999999,AE,United Arab Emirates,Asia
2009,0.99995,0.9999600000000001,1e-05,0.00146,0.97814,AE,United Arab Emirates,Asia
2009,0.9999600000000001,0.99997,1e-05,0.00173,0.97987,AE,United Arab Emirates,Asia
2009,0.99997,0.99998,1e-05,0.0021899999999999997,0.98206,AE,United Arab Emirates,Asia
2009,0.99998,0.9999899999999999,1e-05,0.00317,0.9852299999999999,AE,United Arab Emirates,Asia
2009,0.9999899999999999,1.0,1e-05,0.014769999999999998,1.0,AE,United Arab Emirates,Asia
1998,0.0,0.01,0.01,0.00044,0.00044,AE,United Arab Emirates,Asia
1998,0.01,0.02,0.01,0.00072,0.00115,AE,United Arab Emirates,Asia
1998,0.02,0.03,0.01,0.0008900000000000001,0.0020399999999999997,AE,United Arab Emirates,Asia
1998,0.03,0.04,0.01,0.00106,0.0031100000000000004,AE,United Arab Emirates,Asia
1998,0.04,0.05,0.01,0.00119,0.0043,AE,United Arab Emirates,Asia
1998,0.05,0.06,0.01,0.0012900000000000001,0.0055899999999999995,AE,United Arab Emirates,Asia
1998,0.06,0.07,0.01,0.0013599999999999999,0.00695,AE,United Arab Emirates,Asia
1998,0.07,0.08,0.01,0.00141,0.00837,AE,United Arab Emirates,Asia
1998,0.08,0.09,0.01,0.00147,0.00983,AE,United Arab Emirates,Asia
